#Name                              Obsid        type           z        flux         err        rlum     rlumerr
# ---                                ---        ----         ---         mJy         mJy    10^40e/s    10^40e/s
ABELL_2063                          6263           F      0.0351      0.0146      0.0006      0.0535      0.0022
ABELL_2065                         31821          NF      0.0730      0.0025      0.0003      0.0419      0.0042
ABELL_2069                          4965          NF      0.1160      0.0025      0.0003      0.1123      0.0112
ABELL_2104                           895          NF      0.1554      0.0025      0.0003      0.2123      0.0212
ABELL_2111                           544          NF      0.2300      0.0025      0.0003      0.5095      0.0510
ABELL_2124                          3238          NF      0.0658      0.0025      0.0003      0.0337      0.0034
ABELL_2125                          2207           F      0.2465      0.0411      0.0016      9.8067      0.3818
ABELL_2142                          1196          NF      0.0898      0.0025      0.0003      0.0649      0.0065
ABELL_2142                          1228          NF      0.0898      0.0025      0.0003      0.0649      0.0065
ABELL_2142                          5005          NF      0.0898      0.0025      0.0003      0.0649      0.0065
ABELL_2147                          3211          NF      0.0356      0.0025      0.0003      0.0094      0.0009
ABELL_2163                          1653          NF      0.1695      0.0025      0.0003      0.2572      0.0257
ABELL_2199                           497           F      0.0300      3.6787      0.1233      9.7658      0.3273
ABELL_2204                           499           F      0.1524      0.0693      0.0025      5.6384      0.2034
ABELL_2204                          6104           F      0.1524      0.0693      0.0025      5.6384      0.2034
ABELL_2218                          1666          NF      0.1713      0.0025      0.0003      0.2633      0.0263
ABELL_2219                           896          NF      0.2256      0.0025      0.0003      0.4877      0.0488
ABELL_2244                          4179           F      0.0967      0.0031      0.0004      0.0942      0.0122
ABELL_2255                           894          NF      0.0805      0.0025      0.0003      0.0515      0.0051
ABELL_2256                          1386          NF      0.0579      0.0025      0.0003      0.0258      0.0026
ABELL_2259                          3245          NF      0.1640      0.0025      0.0003      0.2391      0.0239
ABELL_2261                          5007           F      0.2240      0.0053      0.0005      1.0175      0.0960
ABELL_2294                          3246          NF      0.1780      0.0025      0.0003      0.2866      0.0287
ABELL_2319                          3231          NF      0.0562      0.0025      0.0003      0.0242      0.0024
ABELL_2384                          4202          NF      0.0945      0.0025      0.0003      0.0724      0.0072
ABELL_2390                          4193           F      0.2301      0.2353      0.0083     48.0059      1.6934
ABELL_2409                          3247          NF      0.1479      0.0025      0.0003      0.1905      0.0190
ABELL_2537                          4962          NF      0.2950      0.0025      0.0003      0.9014      0.0901
ABELL_2550                          2225           F      0.1543      0.0043      0.0005      0.3595      0.0418
ABELL_2554                          1696          NF      0.1103      0.0025      0.0003      0.1008      0.0101
ABELL_2556                          2226          NF      0.0862      0.0025      0.0003      0.0595      0.0060
ABELL_2597                           922           F      0.0854      1.8746      0.0562     43.7486      1.3116
ABELL_2626                          3192           F      0.0573      0.0545      0.0024      0.5499      0.0242
ABELL_2631                          3248          NF      0.2779      0.0025      0.0003      0.7852      0.0785
ABELL_2634                          4816          NF      0.0314      0.0025      0.0003      0.0073      0.0007
ABELL_2667                          2214           F      0.2300      0.0194      0.0010      3.9541      0.2038
ABELL_2670                          4959           F      0.0763      0.0062      0.0005      0.1140      0.0092
ABELL_2717                          6974           F      0.0475      0.5155      0.0173      3.5225      0.1182
ABELL_2744                          2212          NF      0.3080      0.0025      0.0003      0.9963      0.0996
ABELL_3112                          2516          OA      0.0720     -0.4440     -0.5550     -0.0000     -0.0000
