#Name                              Obsid        type           z        flux         err        rlum     rlumerr
# ---                                ---        ----         ---         mJy         mJy    10^40e/s    10^40e/s
ABELL_2142                          1196          NF      0.0898      0.0025      0.0003      0.5529      0.0553
ABELL_2142                          1228          NF      0.0898      0.0025      0.0003      0.5529      0.0553
ABELL_2142                          5005          NF      0.0898      0.0025      0.0003      0.5529      0.0553
ABELL_2147                          3211          NF      0.0356      0.0025      0.0003      0.0803      0.0080
ABELL_2163                          1653          NF      0.1695      0.0025      0.0003      2.1903      0.2190
ABELL_2199                           497           F      0.0300      3.6787      0.1233     83.1768      2.7879
ABELL_2204                           499           F      0.1524      0.0693      0.0025     48.0237      1.7325
ABELL_2204                          6104           F      0.1524      0.0693      0.0025     48.0237      1.7325
ABELL_2218                          1666          NF      0.1713      0.0025      0.0003      2.2422      0.2242
ABELL_2219                           896          NF      0.2256      0.0025      0.0003      4.1540      0.4154
ABELL_2244                          4179           F      0.0967      0.0031      0.0004      0.8027      0.1036
ABELL_2255                           894          NF      0.0805      0.0025      0.0003      0.4385      0.0438
ABELL_2256                          1386          NF      0.0579      0.0025      0.0003      0.2195      0.0220
ABELL_2259                          3245          NF      0.1640      0.0025      0.0003      2.0363      0.2036
ABELL_2261                          5007           F      0.2240      0.0053      0.0005      8.6658      0.8175
ABELL_2294                          3246          NF      0.1780      0.0025      0.0003      2.4414      0.2441
ABELL_2319                          3231          NF      0.0562      0.0025      0.0003      0.2063      0.0206
ABELL_2384                          4202          NF      0.0945      0.0025      0.0003      0.6163      0.0616
ABELL_2390                          4193           F      0.2301      0.2353      0.0083    408.8757     14.4227
ABELL_2409                          3247          NF      0.1479      0.0025      0.0003      1.6222      0.1622
ABELL_2537                          4962          NF      0.2950      0.0025      0.0003      7.6775      0.7677
ABELL_2550                          2225           F      0.1543      0.0043      0.0005      3.0621      0.3561
ABELL_2554                          1696          NF      0.1103      0.0025      0.0003      0.8581      0.0858
ABELL_2556                          2226          NF      0.0862      0.0025      0.0003      0.5069      0.0507
ABELL_2597                           922           F      0.0854      1.8746      0.0562    372.6155     11.1709
ABELL_2626                          3192           F      0.0573      0.0545      0.0024      4.6832      0.2062
ABELL_2631                          3248          NF      0.2779      0.0025      0.0003      6.6881      0.6688
ABELL_2634                          4816          NF      0.0314      0.0025      0.0003      0.0621      0.0062
ABELL_2667                          2214           F      0.2300      0.0194      0.0010     33.6777      1.7360
ABELL_2670                          4959           F      0.0763      0.0062      0.0005      0.9711      0.0783
ABELL_2717                          6974           F      0.0475      0.5155      0.0173     30.0022      1.0069
ABELL_2744                          2212          NF      0.3080      0.0025      0.0003      8.4855      0.8486
ABELL_3112                          2516          OA      0.0720     -0.4440     -0.5550     -0.0000     -0.0000
ABELL_3128                           893          OA      0.0624     -0.4440     -0.5550     -0.0000     -0.0000
ABELL_3158                          3201          OA      0.0580     -0.4440     -0.5550     -0.0000     -0.0000
ABELL_3158                          3712          OA      0.0586     -0.4440     -0.5550     -0.0000     -0.0000
ABELL_3164                          6955          OA      0.0570     -0.4440     -0.5550     -0.0000     -0.0000
ABELL_3266                           899          OA      0.0590     -0.4440     -0.5550     -0.0000     -0.0000
ABELL_3376                          3202          NF      0.0456      0.0025      0.0003      0.1337      0.0134
ABELL_3376                          3450          NF      0.0456      0.0025      0.0003      0.1337      0.0134
ABELL_3391                          4943          OA      0.0560     -0.4440     -0.5550     -0.0000     -0.0000
ABELL_3558                          1646           F      0.0480      0.0040      0.0006      0.2379      0.0357
ABELL_3562                          4167          NF      0.0490      0.0025      0.0003      0.1552      0.0155
ABELL_3571                          4203          NF      0.0391      0.0025      0.0003      0.0974      0.0097
ABELL_3667                          5751          OA      0.0556     -0.4440     -0.5550     -0.0000     -0.0000
ABELL_3667                          5752          OA      0.0556     -0.4440     -0.5550     -0.0000     -0.0000
ABELL_3667                          5753          OA      0.0556     -0.4440     -0.5550     -0.0000     -0.0000
ABELL_3667                           889          OA      0.0566     -0.4440     -0.5550     -0.0000     -0.0000
ABELL_3921                          4973          NF      0.0927      0.0025      0.0003      0.5916      0.0592
ABELL_4038                          4992           F      0.0300      0.0275      0.0013      0.6218      0.0294
AC_114                              1562          NF      0.3120      0.0025      0.0003      8.7441      0.8744
AWM7                                 908          NF      0.0172      0.0025      0.0003      0.0182      0.0018
CENTAURUS                           4954          OA      0.0109     -0.4440     -0.5550     -0.0000     -0.0000
CL_0024+17                           929           F      0.3940      0.0026      0.0004     15.7382      2.4213
CL_J0030+2618                       1190          NF      0.5000      0.0025      0.0003     26.7837      2.6784
CL_J0030+2618                       1226          NF      0.5000      0.0025      0.0003     26.7837      2.6784
CL_J0030+2618                       5762          NF      0.5000      0.0025      0.0003     26.7837      2.6784
CL_J0848+4456                       1708          NF      0.5740      0.0025      0.0003     37.4560      3.7456
CL_J0848+4456                        927          NF      0.5740      0.0025      0.0003     37.4560      3.7456
CL_J1226.9+3332                     3180           F      0.8900      0.0043      0.0005    190.3130     22.1294
CL_J1226.9+3332                     5014           F      0.8900      0.0043      0.0005    190.3130     22.1294
CL_J2302.8+0844                      918           F      0.7300      0.0252      0.0009    681.8106     24.3504
COMA                                 556          NF      0.0231      0.0025      0.0003      0.0332      0.0033
CYGNUS_A                             360          NF      0.0561      0.0025      0.0003      0.2056      0.0206
DLS_J0514-4904                      4980          OA      0.0912     -0.4440     -0.5550     -0.0000     -0.0000
ESO_3060170                         3189          OA      0.0358     -0.4440     -0.5550     -0.0000     -0.0000
ESO_5520200                         3206          NF      0.0314      0.0025      0.0003      0.0621      0.0062
EXO_0422-086                        4183           F      0.0397      0.1124      0.0034      4.5165      0.1366
HERCULES_A                          1625          NF      0.1541      0.0025      0.0003      1.7752      0.1775
HYDRA_A                             4970           F      0.0549     40.8499      1.2788   3210.9906    100.5196
HYDRA_A                              576           F      0.0522     40.8499      1.2788   2891.3585     90.5136
IRAS_09104+4109                      509           F      0.4420      0.0159      0.0009    126.6012      7.1661
LYNX_E                             17081          NF      0.5740      0.0025      0.0003     37.4560      3.7456
LYNX_E                              9271          NF      1.2600      0.0025      0.0003    263.6781     26.3678
MACS_J0011.7-1523                   3261           F      0.3600      0.0311      0.0015    152.0755      7.3348
MACS_J0011.7-1523                   6105           F      0.3600      0.0311      0.0015    152.0755      7.3348
MACS_J0025.4-1222                   3251          NF      0.5843      0.0025      0.0003     39.1190      3.9119
MACS_J0025.4-1222                   5010          NF      0.5843      0.0025      0.0003     39.1190      3.9119
MACS_J0035.4-2015                   3262          NF      0.3644      0.0025      0.0003     12.5798      1.2580
MACS_J0111.5+0855                   3256          NF      0.2627      0.0025      0.0003      5.8769      0.5877
MACS_J0152.5-2852                   3264          NF      0.3407      0.0025      0.0003     10.7397      1.0740
MACS_J0159.0-3412                   5818          NF      0.4584      0.0025      0.0003     21.7240      2.1724
MACS_J0159.8-0849                   3265           F      0.4050      0.0367      0.0012    237.1731      7.7550
MACS_J0159.8-0849                   6106           F      0.4050      0.0367      0.0012    237.1731      7.7550
MACS_J0242.5-2132                   3266           F      0.3140      1.2549      0.0377   4454.9464    133.8365
MACS_J0257.1-2325                   1654          NF      0.5053      0.0025      0.0003     27.4757      2.7476
MACS_J0257.1-2325                   3581          NF      0.5053      0.0025      0.0003     27.4757      2.7476
MACS_J0257.6-2209                   3267          NF      0.3224      0.0025      0.0003      9.4385      0.9438
MACS_J0308.9+2645                   3268          NF      0.3240      0.0025      0.0003      9.5482      0.9548
MACS_J0329.6-0211                   3257           F      0.4500      0.0069      0.0006     57.3542      4.9873
MACS_J0329.6-0211                   3582           F      0.4500      0.0069      0.0006     57.3542      4.9873
MACS_J0329.6-0211                   6108           F      0.4500      0.0069      0.0006     57.3542      4.9873
MACS_J0417.5-1154                   3270           F      0.4400      0.0298      0.0017    234.7141     13.3897
MACS_J0429.6-0253                   3271           F      0.3990      0.1388      0.0042    865.7203     26.1961
MACS_J0455.2+0657                   5812          NF      0.4247      0.0025      0.0003     18.0928      1.8093
MACS_J0520.7-1328                   3272           F      0.3398      0.0930      0.0028    397.0481     11.9541
MACS_J0547.0-3904                   3273           F      0.2100      0.0314      0.0010     44.3815      1.4134
MACS_J0553.4-3342                   5813          NF      0.4067      0.0025      0.0003     16.3180      1.6318
MACS_J0717.5+3745                   1655          NF      0.5480      0.0025      0.0003     33.4543      3.3454
MACS_J0717.5+3745                   4200          NF      0.5480      0.0025      0.0003     33.4543      3.3454
MACS_J0744.8+3927                   3197          NF      0.6860      0.0025      0.0003     58.0112      5.8011
MACS_J0744.8+3927                   3585          NF      0.6860      0.0025      0.0003     58.0112      5.8011
MACS_J0744.8+3927                   6111          NF      0.6860      0.0025      0.0003     58.0112      5.8011
MACS_J0911.2+1746                   5012          NF      0.5409      0.0025      0.0003     32.4096      3.2410
MACS_J1006.9+3200                   5819          NF      0.3587      0.0025      0.0003     12.1210      1.2121
MACS_J1105.7-1014                   5817          NF      0.4664      0.0025      0.0003     22.6466      2.2647
MACS_J1108.8+0906                   3252          NF      0.4493      0.0025      0.0003     20.7031      2.0703
MACS_J1108.8+0906                   5009          NF      0.4493      0.0025      0.0003     20.7031      2.0703
MACS_J1115.2+5320                   3253          NF      0.4390      0.0025      0.0003     19.5838      1.9584
MACS_J1115.2+5320                   5008          NF      0.4390      0.0025      0.0003     19.5838      1.9584
MACS_J1115.2+5320                   5350          NF      0.4390      0.0025      0.0003     19.5838      1.9584
MACS_J1115.8+0129                   3275           F      0.1200      0.0162      0.0010      6.6691      0.4117
MACS_J1131.8-1955                   3276          NF      0.3070      0.0025      0.0003      8.4216      0.8422
MACS_J1149.5+2223                   1656          NF      0.1761      0.0025      0.0003      2.3839      0.2384
MACS_J1149.5+2223                   3589          NF      0.1761      0.0025      0.0003      2.3839      0.2384
MACS_J1206.2-0847                   3277           F      0.4400      0.1609      0.0063   1267.2986     49.6208
MACS_J1311.0-0310                   3258          NF      0.4940      0.0025      0.0003     26.0134      2.6013
MACS_J1311.0-0310                   6110          NF      0.4940      0.0025      0.0003     26.0134      2.6013
MACS_J1427.2+4407                   6112           F      0.4771      0.0479      0.0018    458.2648     17.2208
MACS_J1621.3+3810                   3254           F      0.4650      0.0088      0.0005     79.1417      4.4967
MACS_J1621.3+3810                   3594           F      0.4610      0.0088      0.0005     77.5148      4.4042
MACS_J1621.3+3810                   6109           F      0.4610      0.0088      0.0005     77.5148      4.4042
MACS_J1621.3+3810                   6172           F      0.4610      0.0088      0.0005     77.5148      4.4042
MACS_J1731.6+2252                   3281           F      0.3661      0.0189      0.0011     96.1532      5.5962
MACS_J1931.8-2634                   3282          NF      0.3520      0.0025      0.0003     11.5949      1.1595
MACS_J2046.0-3430                   5816           F      0.4133      0.0081      0.0005     54.9365      3.3911
MACS_J2049.9-3217                   3283          NF      0.3254      0.0025      0.0003      9.6448      0.9645
MACS_J2211.7-0349                   3284          NF      0.2700      0.0025      0.0003      6.2586      0.6259
MACS_J2214.9-1359                   3259          NF      0.5026      0.0025      0.0003     27.1218      2.7122
MACS_J2214.9-1359                   5011          NF      0.5026      0.0025      0.0003     27.1218      2.7122
MACS_J2228+2036                     3285          NF      0.4120      0.0025      0.0003     16.8289      1.6829
MACS_J2229.7-2755                   3286           F      0.3240      0.0073      0.0005     27.8807      1.9096
MACS_J2243.3-0935                   3260          NF      0.1010      0.0025      0.0003      0.7104      0.0710
MACS_J2245.0+2637                   3287           F      0.3040      0.0058      0.0005     19.0974      1.6463
MKW3S                                900           F      0.0450      0.0113      0.0010      0.5881      0.0520
MKW_04                              3234          NF      0.0198      0.0025      0.0003      0.0242      0.0024
MS_0016.9+1609                       520          NF      0.5410      0.0025      0.0003     32.4242      3.2424
MS_0440.5+0204                      4196           F      0.1900      0.0406      0.0016     45.8503      1.8069
MS_0451.6-0305                       902          NF      0.5386      0.0025      0.0003     32.0756      3.2076
MS_0735.6+7421                      4197           F      0.2160      0.0211      0.0014     31.7780      2.1085
MS_0839.8+2938                      2224           F      0.1940      0.0247      0.0008     29.2238      0.9465
MS_0906.5+1110                       924          NF      0.1630      0.0025      0.0003      2.0089      0.2009
MS_1006.0+1202                       925           F      0.2210      0.0045      0.0006      7.1368      0.9516
MS_1008.1-1224                       926          NF      0.3010      0.0025      0.0003      8.0443      0.8044
MS_1054.5-0321                       512           F      0.8300      0.0141      0.0009    524.5345     33.4809
MS_1455.0+2232                      4192           F      0.2590      0.0165      0.0013     37.5465      2.9582
