#Cluster                                          Obsid   Tmode    Rmin    Rmax   Ann             t0         t0_err           t100       t100_err      Power-law       Plaw_err          Chisq           Prob
CENTAURUS              5310_4190_4191_4954_4955_504_505    flat    0.00    0.03    27        0.09212        0.00128       25.37462        0.48128        1.65219        0.00947       16.89923    0.00000E+00
EXO_0422-086                                       4183    flat    0.00    0.07    19        0.30162        0.01821       11.99946        0.80362        1.47094        0.05604        0.65217    6.58057E-01
HYDRA_A                                        4970_576    flat    0.00    0.30    57        0.35372        0.01657        7.21131        0.07339        1.36423        0.01381        3.01195    0.00000E+00
MKW3S                                               900    flat    0.00    0.20    46        0.85661        0.05386        9.15569        0.16336        1.39667        0.03384        0.70237    8.69520E-01
MKW_04                                             3234    flat    0.00    0.03    16        0.09022        0.00329       34.66932        2.55751        1.71165        0.03352        1.76211    1.10934E-02
MKW_08                                             4942    flat    0.00    0.05    19        5.46787        0.98471       26.63514        6.36090        1.13665        0.30423        0.02002    1.00000E+00
NGC_0507                                           2882    flat    0.00    0.05    61        0.05403        0.00540        9.50898        0.37176        0.94065        0.01137        1.03891    2.91422E-01
NGC_4636                                      4415_3926    flat    0.00    0.00    12        0.03795        0.00220    37409.70312    33752.67578        3.03307        0.21561        0.88987    2.37454E-01
NGC_5044                                      3225_3664    flat    0.00    0.03    66        0.07167        0.00903        7.11318        0.84710        1.24289        0.06502        0.74129    8.95320E-01
RBS_0461                                           4182    flat    0.00    0.20    70        5.36144        0.20852        9.09441        0.36353        1.62153        0.07164        0.05452    1.00000E+00
RBS_0533                            3186_3187_5800_5801    flat    0.00    0.05    44        0.04400        0.00089       17.97580        0.33335        1.33843        0.00768        3.66418    0.00000E+00
SERSIC_159-03                                      1668    flat    0.00    0.12    23        0.33633        0.01869        5.18109        0.19256        1.50615        0.05637        1.50887    2.50933E-02
ZWCL_1215                                          4184    flat    0.00    0.25    36        6.22088        2.38084        9.76435        2.96778        0.94684        0.29651        0.08905    1.00000E+00
