# Model: wabs(mekal) for annuli spectra; Fit Range = 0.7 - 7.0; Count Rates = 0.7 - 7.0 keV
# Nh frozen = yes; Fe frozen = no; Confidence Levels = 2.71; Systematic error = 0.00
# Cluster                  ObsID    Rin   Rout  nh20   nlo   nhi    Tx   Tlo   Thi    Fe  Felo  Fehi       Norm     Normlo     Normhi   Tx2  Tlo2  Thi2      Norm2    Normlo2    Normhi2       z     Cr  chisq    dof
2A_0335+096                  919   0.00   0.30 18.11  0.00  0.00  1.70  1.66  1.74  0.57  0.52  0.63   6.91e-03   6.62e-03   7.21e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.0347  0.995   1.71    166
2A_0335+096                  919   0.30   0.46 18.11  0.00  0.00  2.04  1.99  2.09  0.80  0.72  0.89   5.98e-03   5.73e-03   6.24e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.0347  0.942   1.28    173
2A_0335+096                  919   0.46   0.62 18.11  0.00  0.00  2.24  2.19  2.29  0.77  0.70  0.85   6.82e-03   6.57e-03   7.08e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.0347  1.063   1.31    183
2A_0335+096                  919   0.62   0.80 18.11  0.00  0.00  2.64  2.57  2.71  0.93  0.84  1.03   5.78e-03   5.58e-03   6.00e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.0347  0.961   1.48    193
2A_0335+096                  919   0.80   1.02 18.11  0.00  0.00  3.03  2.95  3.11  0.81  0.73  0.90   6.37e-03   6.17e-03   6.58e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.0347  1.012   1.42    207
2A_0335+096                  919   1.02   1.31 18.11  0.00  0.00  3.35  3.27  3.46  0.82  0.73  0.91   6.41e-03   6.22e-03   6.62e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.0347  1.024   1.32    218
2A_0335+096                  919   1.31   1.70 18.11  0.00  0.00  3.85  3.73  3.98  0.74  0.66  0.84   6.80e-03   6.60e-03   6.99e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.0347  1.069   1.40    233
2A_0335+096                  919   1.70   2.19 18.11  0.00  0.00  4.00  3.87  4.14  0.78  0.69  0.88   7.20e-03   6.98e-03   7.40e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.0347  1.134   1.11    246
2A_0335+096                  919   2.19   4.00 18.11  0.00  0.00  4.43  4.32  4.55  0.61  0.55  0.67   1.77e-02   1.74e-02   1.80e-02  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.0347  2.619   1.45    346
4C_55.16                    4940   0.00   0.11  4.00  0.00  0.00  3.18  3.04  3.33  0.69  0.57  0.83   6.75e-04   6.41e-04   7.11e-04  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.2420  0.087   1.14    130
4C_55.16                    4940   0.11   0.17  4.00  0.00  0.00  3.33  3.17  3.49  0.97  0.79  1.18   4.78e-04   4.45e-04   5.09e-04  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.2420  0.067   1.01    116
4C_55.16                    4940   0.17   0.25  4.00  0.00  0.00  4.12  3.87  4.38  0.67  0.50  0.86   5.00e-04   4.72e-04   5.29e-04  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.2420  0.065   0.99    121
4C_55.16                    4940   0.25   0.36  4.00  0.00  0.00  4.64  4.36  4.96  0.77  0.59  0.96   5.19e-04   4.93e-04   5.46e-04  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.2420  0.070   1.04    126
4C_55.16                    4940   0.36   0.51  4.00  0.00  0.00  4.72  4.41  5.06  0.52  0.38  0.67   6.07e-04   5.82e-04   6.35e-04  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.2420  0.078   1.23    135
4C_55.16                    4940   0.51   0.80  4.00  0.00  0.00  5.36  5.00  5.77  0.53  0.39  0.68   7.51e-04   7.24e-04   7.83e-04  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.2420  0.097   1.11    156
4C_55.16                    4940   0.80   1.97  4.00  0.00  0.00  5.60  5.18  6.06  0.24  0.13  0.35   1.20e-03   1.17e-03   1.26e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.2420  0.142   1.01    225
ABELL_0085                   904   0.00   0.30  3.67  0.00  0.00  3.16  3.07  3.24  1.02  0.92  1.13   3.49e-03   3.36e-03   3.61e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.0548  0.500   1.12    213
ABELL_0085                   904   0.30   0.53  3.67  0.00  0.00  4.08  3.94  4.22  0.69  0.60  0.78   3.81e-03   3.71e-03   3.92e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.0548  0.495   1.05    236
ABELL_0085                   904   0.53   0.76  3.67  0.00  0.00  4.93  4.74  5.13  0.67  0.57  0.77   3.68e-03   3.58e-03   3.78e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.0548  0.476   0.93    243
ABELL_0085                   904   0.76   1.01  3.67  0.00  0.00  5.35  5.13  5.58  0.53  0.43  0.62   3.94e-03   3.85e-03   4.05e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.0548  0.493   0.95    246
ABELL_0085                   904   1.01   1.28  3.67  0.00  0.00  5.55  5.32  5.81  0.49  0.40  0.58   3.97e-03   3.87e-03   4.07e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.0548  0.489   0.98    251
ABELL_0085                   904   1.28   1.57  3.67  0.00  0.00  5.49  5.25  5.74  0.55  0.45  0.65   3.79e-03   3.69e-03   3.88e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.0548  0.473   1.06    248
ABELL_0085                   904   1.57   1.88  3.67  0.00  0.00  6.05  5.77  6.35  0.49  0.40  0.59   3.94e-03   3.85e-03   4.04e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.0548  0.491   0.98    254
ABELL_0085                   904   1.88   2.20  3.67  0.00  0.00  6.19  5.90  6.51  0.45  0.36  0.55   3.91e-03   3.82e-03   4.01e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.0548  0.485   1.01    256
ABELL_0085                   904   2.20   2.54  3.67  0.00  0.00  6.50  6.16  6.86  0.46  0.36  0.56   3.90e-03   3.81e-03   3.99e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.0548  0.486   1.04    256
ABELL_0085                   904   2.54   2.92  3.67  0.00  0.00  6.88  6.50  7.30  0.39  0.30  0.50   3.93e-03   3.84e-03   4.02e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.0548  0.485   1.12    260
