# Model: proj(wabs(mekal2t)) for annuli spectra; Fit Range = 0.7 - 7.0; Count Rates = 0.7 - 2.0 keV
# Nh frozen = yes; Fe frozen = no; Confidence Levels = 2.71; calcerror = yes
# Cluster           ObsID    Rin   Rout  nh20   nlo   nhi    Tx   Tlo   Thi    Fe  Felo  Fehi       Norm     Normlo     Normhi   Tx2  Tlo2  Thi2   Norm2    Normlo2    Normhi2          z     Cr  chisq    dof
ABELL_0478           1669   0.00   0.00 15.48  0.00  0.00 21.25 16.39 29.04  0.00  0.00  0.06   4.03e-03   3.83e-03   4.28e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.0883  0.316   2.19   4438
ABELL_0478           1669   0.00   0.00 15.48  0.00  0.00 22.37 17.99 34.47  0.00  0.00  0.06   4.20e-03   3.99e-03   4.45e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.0883  0.315   2.19   4438
ABELL_0478           1669   0.00   0.00 15.48  0.00  0.00 20.27 13.13 25.71  0.15  0.06  0.24   4.40e-03   4.05e-03   4.63e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.0883  0.335   2.19   4438
ABELL_0478           1669   0.00   0.00 15.48  0.00  0.00 16.71 13.11 23.05  0.15  0.06  0.24   5.31e-03   5.04e-03   5.61e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.0883  0.352   2.19   4438
ABELL_0478           1669   0.00   0.00 15.48  0.00  0.00 21.23 16.09 28.36  0.15  0.06  0.24   4.97e-03   4.85e-03   5.23e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.0883  0.379   2.19   4438
ABELL_0478           1669   0.00   0.00 15.48  0.00  0.00 18.59 17.04 20.36  0.15  0.06  0.24   1.60e-02   1.57e-02   1.63e-02  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.0883  0.645   2.19   4438
ABELL_0478           6102   0.00   0.23 15.48  0.00  0.00  4.75  4.16  5.59  0.38  0.20  0.52   2.77e-03   2.61e-03   2.97e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.0883  0.319   1.32   1976
ABELL_0478           6102   0.23   0.39 15.48  0.00  0.00 11.54  8.24 18.36  0.38  0.20  0.52   3.10e-03   2.90e-03   3.33e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.0883  0.281   1.32   1976
ABELL_0478           6102   0.39   0.56 15.48  0.00  0.00  8.29  6.24 13.03  0.38  0.20  0.52   2.78e-03   2.53e-03   3.05e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.0883  0.291   1.32   1976
ABELL_0478           6102   0.56   0.72 15.48  0.00  0.00  9.80  7.28 13.48  0.38  0.20  0.52   3.90e-03   3.60e-03   4.23e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.0883  0.286   1.32   1976
ABELL_0478           6102   0.72   0.90 15.48  0.00  0.00 11.90  7.70 29.45  0.73  0.52  0.96   4.03e-03   3.67e-03   4.52e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.0883  0.279   1.32   1976
ABELL_0478           6102   0.90   1.10 15.48  0.00  0.00 10.66  7.66 29.61  0.73  0.52  0.96   4.00e-03   3.65e-03   4.83e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.0883  0.273   1.32   1976
ABELL_0478           6102   1.10   1.32 15.48  0.00  0.00 21.22  9.35 56.02  0.73  0.52  0.96   4.97e-03   4.40e-03   5.85e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.0883  0.274   1.32   1976
ABELL_0478           6102   1.32   1.61 15.48  0.00  0.00 13.36  9.24 38.07  0.73  0.52  0.96   5.12e-03   4.73e-03   6.01e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.0883  0.285   1.32   1976
ABELL_0478           6102   1.61   1.99 15.48  0.00  0.00 14.90  9.79 33.07  0.73  0.52  0.96   4.85e-03   4.46e-03   5.49e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.0883  0.286   1.32   1976
ABELL_0478           6102   1.99   2.48 15.48  0.00  0.00 13.32  9.43 21.36  0.32  0.13  0.51   5.67e-03   5.29e-03   6.07e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.0883  0.281   1.32   1976
ABELL_0478           6102   2.48   3.16 15.48  0.00  0.00 25.08 15.12 55.93  0.32  0.13  0.51   5.96e-03   5.46e-03   6.88e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.0883  0.289   1.32   1976
ABELL_0478           6102   3.16   4.12 15.48  0.00  0.00 12.92  9.77 18.18  0.32  0.13  0.51   6.98e-03   6.62e-03   7.38e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.0883  0.311   1.32   1976
ABELL_0478           6102   4.12   6.66 15.48  0.00  0.00 17.68 14.21 22.96  0.32  0.13  0.51   1.32e-02   1.27e-02   1.38e-02  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.0883  0.423   1.32   1976
ABELL_1650           4178   0.00   0.23  1.62  0.00  0.00  3.33  2.62  4.23  0.95  0.61  1.35   2.83e-04   2.49e-04   3.35e-04  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.0843  0.121   1.00   1989
ABELL_1650           4178   0.23   0.35  1.62  0.00  0.00  8.08  5.98 12.62  0.95  0.61  1.35   5.79e-04   5.14e-04   6.36e-04  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.0843  0.118   1.00   1989
ABELL_1650           4178   0.35   0.47  1.62  0.00  0.00  4.30  3.28  6.39  0.95  0.61  1.35   4.28e-04   3.28e-04   4.94e-04  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.0843  0.124   1.00   1989
ABELL_1650           4178   0.47   0.57  1.62  0.00  0.00  6.58  4.78  9.74  0.82  0.57  1.12   7.99e-04   7.59e-04   8.72e-04  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.0843  0.118   1.00   1989
ABELL_1650           4178   0.57   0.69  1.62  0.00  0.00  4.83  3.45  8.94  0.82  0.57  1.12   5.71e-04   4.87e-04   6.58e-04  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.0843  0.126   1.00   1989
ABELL_1650           4178   0.69   0.80  1.62  0.00  0.00 10.64  6.55 19.26  0.82  0.57  1.12   9.19e-04   8.34e-04   1.01e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.0843  0.119   1.00   1989
ABELL_1650           4178   0.80   0.93  1.62  0.00  0.00  3.63  2.71  5.40  0.82  0.57  1.12   6.17e-04   5.15e-04   7.16e-04  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.0843  0.123   1.00   1989
ABELL_1650           4178   0.93   1.07  1.62  0.00  0.00 18.70  8.61 71.77  0.47  0.24  0.72   1.05e-03   9.10e-04   1.34e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.0843  0.136   1.00   1989
ABELL_1650           4178   1.07   1.21  1.62  0.00  0.00  4.39  3.16  6.18  0.47  0.24  0.72   1.10e-03   9.78e-04   1.25e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.0843  0.127   1.00   1989
ABELL_1650           4178   1.21   1.38  1.62  0.00  0.00  4.99  3.53 11.88  0.47  0.24  0.72   1.05e-03   9.28e-04   1.16e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.0843  0.137   1.00   1989
ABELL_1650           4178   1.38   1.57  1.62  0.00  0.00 12.08  4.51 29.17  0.43  0.18  0.68   1.13e-03   9.97e-04   1.28e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.0843  0.146   1.00   1989
ABELL_1650           4178   1.57   1.78  1.62  0.00  0.00  4.86  3.53 10.84  0.43  0.18  0.68   1.24e-03   1.11e-03   1.39e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.0843  0.154   1.00   1989
ABELL_1650           4178   1.78   2.01  1.62  0.00  0.00  7.97  5.04 14.52  0.43  0.18  0.68   1.45e-03   1.32e-03   1.57e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.0843  0.157   1.00   1989
ABELL_1650           4178   2.01   2.30  1.62  0.00  0.00  7.46  5.03 12.99  0.26  0.18  0.36   1.33e-03   1.28e-03   1.44e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.0843  0.183   1.00   1989
ABELL_1650           4178   2.30   2.94  1.62  0.00  0.00  5.36  5.03  5.72  0.26  0.18  0.36   6.66e-03   6.48e-03   6.83e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.0843  0.341   1.00   1989
ABELL_1651           4185   0.00   0.67  2.02  0.00  0.00  6.66  5.54  8.33  0.45  0.30  0.60   2.39e-03   2.26e-03   2.51e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.0840  0.333   1.09    898
ABELL_1651           4185   0.67   1.21  2.02  0.00  0.00  7.46  5.69 10.48  0.45  0.30  0.60   3.09e-03   2.90e-03   3.28e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.0840  0.333   1.09    898
ABELL_1651           4185   1.21   1.87  2.02  0.00  0.00  5.11  4.20  6.41  0.45  0.30  0.60   3.59e-03   3.36e-03   3.84e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.0840  0.338   1.09    898
ABELL_1651           4185   1.87   2.67  2.02  0.00  0.00 10.25  7.77 15.08  0.30  0.19  0.42   4.46e-03   4.22e-03   4.69e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.0840  0.339   1.09    898
