# Model: wabs(mekal) for inner100 spectra; Fit Range = 0.5 - 7.0; Count Rates = 0.5 - 7.0 keV
# Nh frozen = yes; Fe frozen = no; z frozen = yes; Confidence Levels = 2.71; Systematic error = 0.00
# Cluster                  ObsID    Rin   Rout  nh20   nlo   nhi    Tx   Tlo   Thi    Fe  Felo  Fehi       Norm     Normlo     Normhi   Tx2  Tlo2  Thi2      Norm2    Normlo2    Normhi2       z     zlo     zhi     Cr   Src%  chisq    dof
ABELL_2717                  6974  0.000  1.790  1.12  0.00  0.00  2.49  2.38  2.60  0.85  0.71  1.03   2.49e-03   2.32e-03   2.66e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.0475  0.0000  0.0000  0.384   86.9   0.97    159
ABELL_2813                  9409  0.000  0.380  1.55  0.00  0.00  7.49  6.04  9.58  0.27  0.00  0.59   7.80e-04   7.24e-04   8.40e-04  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.2924  0.0000  0.0000  0.077   96.5   1.09     48
ABELL_3084                  9413  0.000  0.920  2.13  0.00  0.00  6.19  5.29  7.36  0.19  0.00  0.45   1.01e-03   9.40e-04   1.07e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.0977  0.0000  0.0000  0.123   88.5   1.08     77
ABELL_3088                  9414  0.000  0.420  1.37  0.00  0.00  6.69  5.96  7.60  0.51  0.30  0.73   1.65e-03   1.56e-03   1.73e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.2534  0.0000  0.0000  0.175   98.2   0.87    102
ABELL_3112                  2516  0.000  1.210  2.50  0.00  0.00  3.98  3.89  4.08  0.73  0.67  0.79   1.44e-02   1.42e-02   1.47e-02  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.0720  0.0000  0.0000  3.146   96.3   1.20    306
ABELL_3120                  6951  0.000  1.260  2.43  0.00  0.00  2.44  2.28  2.62  0.87  0.66  1.15   9.68e-04   8.68e-04   1.06e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.0690  0.0000  0.0000  0.141   87.0   1.00    106
ABELL_3266                   899  0.000  1.460  1.72  0.00  0.00  8.40  7.84  9.05  0.37  0.25  0.50   4.58e-03   4.47e-03   4.69e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.0590  0.0000  0.0000  0.619   94.9   0.98    281
ABELL_3364                  9419  0.000  0.640  2.06  0.00  0.00  8.83  7.52 10.68  0.41  0.14  0.69   1.28e-03   1.21e-03   1.36e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.1483  0.0000  0.0000  0.154   95.2   0.93     97
ABELL_3391                  4943  0.000  1.530  5.46  0.00  0.00  6.87  6.23  7.63  0.73  0.48  1.01   2.21e-03   2.09e-03   2.33e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.0560  0.0000  0.0000  0.317   88.6   1.06    154
ABELL_3395                  4944  0.000  1.670  6.94  0.00  0.00  5.02  4.54  5.58  0.24  0.06  0.45   1.65e-03   1.55e-03   1.75e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.0510  0.0000  0.0000  0.208   85.2   0.87    129
ABELL_3528S                 8268  0.000  1.620  6.13  0.00  0.00  4.69  4.36  5.05  0.69  0.51  0.89   4.97e-03   4.71e-03   5.24e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.0530  0.0000  0.0000  0.679   93.8   1.06    145
ABELL_3558                  1646  0.000  1.770  3.84  0.00  0.00  5.65  5.42  5.89  0.57  0.47  0.67   1.05e-02   1.03e-02   1.08e-02  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.0480  0.0000  0.0000  2.251   87.8   1.11    276
ABELL_3562                  4167  0.000  1.740  3.90  0.00  0.00  4.48  4.25  4.73  0.52  0.41  0.65   4.13e-03   3.99e-03   4.28e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.0490  0.0000  0.0000  0.569   94.5   1.03    202
ABELL_3571                  4203  0.000  2.150  4.66  0.00  0.00  7.79  7.62  7.97  0.51  0.46  0.56   2.67e-02   2.64e-02   2.69e-02  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.0391  0.0000  0.0000  5.191   93.1   1.23    434
ABELL_3581                  1650  0.000  3.780  4.30  0.00  0.00  1.77  1.73  1.80  0.55  0.51  0.60   1.66e-02   1.61e-02   1.71e-02  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.0218  0.0000  0.0000  3.831   87.9   1.89    206
ABELL_3822                  8269  0.000  1.160  2.10  0.00  0.00  5.18  4.53  5.99  0.14  0.00  0.38   2.36e-03   2.20e-03   2.52e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.0759  0.0000  0.0000  0.292   91.7   1.07     77
ABELL_3827                  7920  0.000  0.920  2.59  0.00  0.00  8.40  8.00  8.87  0.29  0.20  0.37   4.32e-03   4.25e-03   4.40e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.0984  0.0000  0.0000  0.758   87.3   1.17    317
ABELL_3921                  4973  0.000  0.970  3.07  0.00  0.00  5.58  5.19  6.03  0.34  0.21  0.47   2.28e-03   2.20e-03   2.36e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.0927  0.0000  0.0000  0.281   95.0   0.93    179
ABELL_4038                  4992  0.000  2.770  1.57  0.00  0.00  3.40  3.35  3.45  0.50  0.47  0.54   1.85e-02   1.82e-02   1.87e-02  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.0300  0.0000  0.0000  2.604   96.0   1.33    382
ABELL_4059                  5785  0.000  1.790  1.09  0.00  0.00  4.02  3.98  4.06  0.86  0.83  0.89   1.07e-02   1.06e-02   1.08e-02  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.0475  0.0000  0.0000  2.406   93.5   2.18    417
ABELL_S0405                 8272  0.000  1.410  7.23  0.00  0.00  4.07  3.62  4.59  0.34  0.10  0.63   2.20e-03   1.99e-03   2.41e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.0613  0.0000  0.0000  0.256   87.0   0.80     67
ABELL_S0592                 9420  0.000  0.470  6.41  0.00  0.00  7.79  6.97  8.81  0.39  0.22  0.57   2.41e-03   2.32e-03   2.51e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.2216  0.0000  0.0000  0.247   98.4   1.06    138
AC_114                      1562  0.000  0.360  1.44  0.00  0.00  7.53  6.66  8.58  0.48  0.28  0.70   4.04e-04   3.83e-04   4.21e-04  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.3120  0.0000  0.0000  0.065   84.5   1.18    123
AWM7                         908  0.000  4.760 10.34  0.00  0.00  3.64  3.61  3.68  0.66  0.64  0.69   4.67e-02   4.64e-02   4.71e-02  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.0172  0.0000  0.0000  6.085   94.7   2.22    439
CYGNUS_A                     360  0.000  1.530 35.23  0.00  0.00  5.24  5.17  5.34  0.75  0.72  0.80   2.99e-02   2.96e-02   3.02e-02  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.0561  0.0000  0.0000  4.268   94.5   2.36    429
ESO_5520200                 3206  0.000  2.660  4.29  0.00  0.00  2.25  2.13  2.38  0.65  0.52  0.81   2.22e-03   2.06e-03   2.39e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.0314  0.0000  0.0000  0.319   77.9   1.18    155
EXO_0422-086                4183  0.000  2.120  6.22  0.00  0.00  3.27  3.17  3.36  0.83  0.73  0.93   1.11e-02   1.07e-02   1.15e-02  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.0397  0.0000  0.0000  1.648   97.1   1.39    229
HCG_0062                     921  0.000  5.590  3.32  0.00  0.00  0.95  0.94  0.96  0.23  0.22  0.24   5.59e-03   5.46e-03   5.72e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.0146  0.0000  0.0000  1.324   53.4   2.86    408
HCG_42                      3215  0.000  6.130  5.15  0.00  0.00  0.75  0.73  0.76  0.17  0.16  0.19   2.12e-03   1.96e-03   2.26e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.0133  0.0000  0.0000  0.371   30.2   1.80    273
M49                          321  0.000 24.420  1.43  0.00  0.00  0.99  0.98  1.00  0.30  0.29  0.31   1.23e-02   1.20e-02   1.26e-02  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.0033  0.0000  0.0000  3.013   46.4   3.86    441
MACS_J0035.4-2015           3262  0.000  0.330  1.55  0.00  0.00  7.06  6.05  8.39  0.36  0.14  0.59   1.05e-03   9.96e-04   1.12e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.3644  0.0000  0.0000  0.097   98.6   0.94     65
MACS_J0242.5-2132           3266  0.000  0.360  2.71  0.00  0.00  4.06  3.82  4.32  0.71  0.54  0.90   4.07e-03   3.84e-03   4.29e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.3140  0.0000  0.0000  0.401   99.6   0.98    123
MACS_J0257.6-2209           3267  0.000  0.350  2.02  0.00  0.00  8.19  6.85 10.03  0.64  0.32  0.99   8.74e-04   8.07e-04   9.33e-04  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.3224  0.0000  0.0000  0.090   97.9   0.96     60
MACS_J0308.9+2645           3268  0.000  0.350 11.88  0.00  0.00 11.79  9.62 15.49  0.58  0.24  0.92   1.14e-03   1.07e-03   1.22e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.3240  0.0000  0.0000  0.105   98.4   1.17     80
MACS_J0417.5-1154           3270  0.000  0.290  4.00  0.00  0.00  5.71  5.00  6.62  0.33  0.14  0.53   2.17e-03   2.03e-03   2.30e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.4400  0.0000  0.0000  0.168   99.2   0.83     62
MACS_J0429.6-0253           3271  0.000  0.310  5.70  0.00  0.00  4.39  4.05  4.77  0.73  0.54  0.94   1.80e-03   1.69e-03   1.91e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.3990  0.0000  0.0000  0.155   99.0   1.28    103
MACS_J0520.7-1328           3272  0.000  0.340  8.88  0.00  0.00  7.46  6.31  9.17  0.50  0.22  0.80   1.14e-03   1.06e-03   1.21e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.3398  0.0000  0.0000  0.101   98.5   0.96     60
MACS_J0547.0-3904           3273  0.000  0.480  4.08  0.00  0.00  2.99  2.74  3.25  0.23  0.09  0.39   1.53e-03   1.41e-03   1.67e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.2100  0.0000  0.0000  0.136   97.5   1.16     86
MACS_J1115.8+0129           3275  0.000  0.770  4.36  0.00  0.00  5.63  5.14  6.22  0.07  0.00  0.19   3.48e-03   3.35e-03   3.60e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.1200  0.0000  0.0000  0.392   97.9   1.28    144
MACS_J1131.8-1955           3276  0.000  0.370  4.49  0.00  0.00  6.10  5.11  7.58  0.71  0.31  1.18   8.19e-04   7.29e-04   9.02e-04  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.3070  0.0000  0.0000  0.083   97.8   1.05     37
MACS_J1206.2-0847           3277  0.000  0.290  4.15  0.00  0.00  8.49  7.21 10.17  0.29  0.08  0.50   1.37e-03   1.30e-03   1.44e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.4400  0.0000  0.0000  0.111   99.1   0.94     79
MACS_J1931.8-2634           3282  0.000  0.340  9.13  0.00  0.00  4.95  4.60  5.34  0.58  0.43  0.73   4.23e-03   4.04e-03   4.42e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.3520  0.0000  0.0000  0.359   99.5   1.04    137
MACS_J2049.9-3217           3283  0.000  0.350  5.99  0.00  0.00  9.84  7.36 13.96  0.18  0.00  0.59   6.37e-04   5.85e-04   6.83e-04  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.3254  0.0000  0.0000  0.057   97.3   0.95     44
MACS_J2211.7-0349           3284  0.000  0.400  5.86  0.00  0.00 12.07 10.18 14.79  0.14  0.00  0.34   2.80e-03   2.67e-03   2.91e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.2700  0.0000  0.0000  0.269   99.3   1.15    137
MACS_J2228+2036             3285  0.000  0.300  4.52  0.00  0.00  7.64  6.07 10.29  0.62  0.23  1.07   5.39e-04   4.86e-04   5.91e-04  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.4120  0.0000  0.0000  0.047   97.3   0.71     31
MACS_J2229.7-2755           3286  0.000  0.350  1.34  0.00  0.00  3.74  3.51  3.99  0.66  0.49  0.85   2.76e-03   2.59e-03   2.93e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.3240  0.0000  0.0000  0.262   99.3   0.78    113
MACS_J2245.0+2637           3287  0.000  0.370  5.50  0.00  0.00  5.21  4.71  5.83  0.82  0.58  1.11   1.70e-03   1.58e-03   1.82e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.3040  0.0000  0.0000  0.170   98.7   1.07     78
MKW3S                        900  0.000  1.880  3.05  0.00  0.00  3.52  3.48  3.57  0.62  0.58  0.65   1.48e-02   1.46e-02   1.50e-02  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.0450  0.0000  0.0000  2.203   97.2   1.16    404
MKW_04                      3234  0.000  4.150  1.90  0.00  0.00  1.90  1.87  1.93  0.92  0.87  0.97   6.71e-03   6.55e-03   6.87e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.0198  0.0000  0.0000  1.850   59.0   1.82    308
MKW_08                      4942  0.000  3.070  2.60  0.00  0.00  3.39  3.22  3.57  0.56  0.44  0.69   3.04e-03   2.89e-03   3.18e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.0270  0.0000  0.0000  0.437   77.8   1.10    210
MS_0016.9+1609               520  0.000  0.260  4.06  0.00  0.00  9.32  7.74 11.75  0.43  0.16  0.70   4.18e-04   3.95e-04   4.45e-04  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.5410  0.0000  0.0000  0.033   97.1   1.03     67
MS_0116.3-0115              4963  0.000  1.870  3.83  0.00  0.00  2.06  1.93  2.21  0.68  0.53  0.86   6.29e-04   5.77e-04   6.84e-04  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.0452  0.0000  0.0000  0.137   29.7   1.10    148
MS_0440.5+0204              4196  0.000  0.520  9.10  0.00  0.00  5.22  4.71  5.84  0.80  0.48  1.16   1.08e-03   9.89e-04   1.17e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.1900  0.0000  0.0000  0.174   88.4   1.32     70
MS_0451.6-0305               902  0.000  0.260  5.68  0.00  0.00 13.65 11.00 17.88  0.83  0.40  1.30   5.58e-04   5.16e-04   5.98e-04  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.5386  0.0000  0.0000  0.065   91.8   0.82     82
MS_0735.6+7421              4197  0.000  0.480  3.40  0.00  0.00  3.99  3.84  4.15  0.63  0.53  0.73   2.00e-03   1.93e-03   2.06e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.2160  0.0000  0.0000  0.319   94.8   0.93    192
MS_0839.8+2938              2224  0.000  0.520  3.92  0.00  0.00  3.67  3.49  3.85  0.73  0.59  0.86   1.74e-03   1.67e-03   1.82e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.1940  0.0000  0.0000  0.321   92.6   1.21    153
MS_0906.5+1110               924  0.000  0.590  3.60  0.00  0.00  6.26  5.73  6.89  0.47  0.31  0.65   1.60e-03   1.53e-03   1.67e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.1630  0.0000  0.0000  0.186   96.9   0.83    142
MS_1006.0+1202               925  0.000  0.470  3.63  0.00  0.00  5.82  5.07  6.78  0.47  0.19  0.79   6.08e-04   5.62e-04   6.57e-04  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.2210  0.0000  0.0000  0.067   94.6   0.95     62
MS_1008.1-1224               926  0.000  0.370  6.71  0.00  0.00  5.30  4.61  6.20  0.59  0.29  0.93   3.93e-04   3.55e-04   4.25e-04  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.3010  0.0000  0.0000  0.037   94.3   0.97     49
MS_1455.0+2232              4192  0.000  0.410  3.35  0.00  0.00  4.25  4.15  4.34  0.54  0.49  0.59   4.51e-03   4.43e-03   4.59e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.2590  0.0000  0.0000  0.409   99.5   1.23    323
MS_2137.3-2353              4974  0.000  0.360  3.40  0.00  0.00  4.67  4.42  4.96  0.46  0.35  0.57   3.43e-03   3.31e-03   3.55e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.3130  0.0000  0.0000  0.466   97.5   1.05    159
MS_J1157.3+5531             4964  0.000  1.090  1.22  0.00  0.00  1.64  1.59  1.70  0.57  0.50  0.65   6.11e-04   5.76e-04   6.43e-04  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.0810  0.0000  0.0000  0.133   59.8   1.70    151
NGC_0507                    2882  0.000  4.990  5.30  0.00  0.00  1.25  1.24  1.26  0.35  0.33  0.37   7.64e-03   7.41e-03   7.86e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.0164  0.0000  0.0000  1.015   79.3   1.73    305
NGC_5813                    5907  0.000 12.260  4.34  0.00  0.00  0.65  0.65  0.65  0.41  0.39  0.43   7.51e-03   7.25e-03   7.79e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.0066  0.0000  0.0000  2.281   48.3   4.35    441
NGC_5846                     788  0.000 14.180  4.21  0.00  0.00  0.66  0.65  0.67  0.12  0.11  0.13   1.54e-02   1.49e-02   1.59e-02  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.0057  0.0000  0.0000  2.098   49.4   1.70    433
OPHIUCHUS                   3200  0.000  2.960 36.00  0.00  0.00  8.57  8.48  8.66  0.44  0.42  0.46   1.14e-01   1.14e-01   1.14e-01  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.0280  0.0000  0.0000 14.770   94.4   3.44    441
RBS_0461                    4182  0.000  2.860 16.16  0.00  0.00  2.79  2.70  2.88  0.53  0.45  0.62   5.79e-03   5.56e-03   6.03e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.0290  0.0000  0.0000  0.670   88.4   0.97    236
RCS_J2327-0204              7355  0.000  0.500  4.84  0.00  0.00  8.53  7.38  9.95  0.00  0.00  0.17   1.09e-03   1.05e-03   1.12e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.2000  0.0000  0.0000  0.156   82.4   1.05    117
RX_J0220.9-3829             9411  0.000  0.450  1.85  0.00  0.00  3.78  3.49  4.12  0.98  0.69  1.32   1.03e-03   9.32e-04   1.13e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.2287  0.0000  0.0000  0.122   96.7   1.28     72
RX_J0232.2-4420             4993  0.000  0.390  2.53  0.00  0.00  5.89  5.33  6.55  0.69  0.49  0.92   2.00e-03   1.89e-03   2.11e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.2836  0.0000  0.0000  0.207   98.7   1.09    106
RX_J0439+0520                527  0.000  0.480 10.02  0.00  0.00  3.70  3.42  4.01  0.78  0.54  1.06   2.49e-03   2.28e-03   2.70e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.2080  0.0000  0.0000  0.263   99.0   1.02     74
RX_J0528.9-3927             4994  0.000  0.410  2.36  0.00  0.00  6.42  5.52  7.75  0.23  0.02  0.45   1.48e-03   1.40e-03   1.56e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.2632  0.0000  0.0000  0.146   98.3   1.28     71
RX_J0819.6+6336             2199  0.000  0.770  4.11  0.00  0.00  4.02  3.53  4.60  0.46  0.20  0.80   1.08e-03   9.76e-04   1.18e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.1190  0.0000  0.0000  0.211   78.7   1.08     68
RX_J1000.4+4409             9421  0.000  0.620  1.08  0.00  0.00  2.89  2.60  3.21  0.59  0.33  0.91   1.17e-03   1.06e-03   1.37e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.1540  0.0000  0.0000  0.139   95.1   1.11     76
RX_J1022.1+3830             6942  0.000  1.730  1.41  0.00  0.00  2.63  2.48  2.80  0.55  0.45  0.66   1.05e-03   9.97e-04   1.10e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.0491  0.0000  0.0000  0.216   43.2   1.11    181
RX_J1130.0+3637             6945  0.000  1.430  2.10  0.00  0.00  1.64  1.56  1.73  0.46  0.39  0.55   6.55e-04   6.12e-04   7.00e-04  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.0600  0.0000  0.0000  0.134   42.0   1.23    144
RX_J1320.2+3308             6941  0.000  2.290  1.06  0.00  0.00  1.03  1.02  1.05  0.31  0.28  0.34   1.30e-03   1.23e-03   1.37e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.0366  0.0000  0.0000  0.306   42.4   2.20    174
RX_J1504.1-0248             5793  0.000  0.480  6.27  0.00  0.00  5.80  5.68  5.92  0.43  0.39  0.47   1.78e-02   1.76e-02   1.80e-02  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.2150  0.0000  0.0000  1.802   99.8   1.26    389
RX_J1539.5-8335             8266  0.000  1.200  7.78  0.00  0.00  3.72  3.58  3.88  0.56  0.46  0.66   1.18e-02   1.13e-02   1.22e-02  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.0728  0.0000  0.0000  1.439   98.2   1.57    194
RX_J1720.1+2638             4361  0.000  0.590  4.02  0.00  0.00  4.95  4.77  5.15  0.52  0.44  0.60   7.14e-03   6.97e-03   7.31e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.1640  0.0000  0.0000  0.820   99.4   1.09    267
RX_J1852.1+5711             5749  0.000  0.840  5.17  0.00  0.00  3.31  3.09  3.55  0.52  0.36  0.70   1.22e-03   1.14e-03   1.31e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.1094  0.0000  0.0000  0.142   92.2   0.91    121
RX_J2129.6+0005              552  0.000  0.440  4.30  0.00  0.00  4.75  4.36  5.22  0.58  0.40  0.79   3.23e-03   3.04e-03   3.42e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.2350  0.0000  0.0000  0.350   99.0   0.89    104
SC_1327-312                 4165  0.000  1.610  3.89  0.00  0.00  3.23  3.00  3.49  0.53  0.37  0.71   2.10e-03   1.95e-03   2.24e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.0531  0.0000  0.0000  0.269   89.5   1.23    123
SERSIC_159-03               1668  0.000  1.480  1.89  0.00  0.00  2.48  2.43  2.54  0.43  0.39  0.47   1.67e-02   1.63e-02   1.70e-02  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.0580  0.0000  0.0000  3.395   95.0   1.11    232
SS2B153                     3243  0.000  4.410  4.12  0.00  0.00  0.86  0.85  0.86  0.42  0.40  0.45   5.70e-03   5.44e-03   5.95e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.0186  0.0000  0.0000  1.772   72.6   4.67    210
UGC_03957                   8265  0.000  2.450  4.63  0.00  0.00  2.85  2.74  2.96  0.92  0.79  1.08   8.40e-03   7.96e-03   8.85e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.0341  0.0000  0.0000  1.270   92.7   1.19    181
UGC_12491                   7896  0.000  4.710 10.80  0.00  0.00  1.04  1.03  1.05  0.24  0.23  0.25   6.10e-03   5.91e-03   6.30e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.0174  0.0000  0.0000  0.966   33.4   2.81    324
ZWCL_1215                   4184  0.000  1.170  1.76  0.00  0.00  6.37  5.71  7.17  0.26  0.07  0.46   2.79e-03   2.65e-03   2.93e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.0750  0.0000  0.0000  0.369   95.9   0.99    129
ZWCL_1358+6245               516  0.000  0.350  1.94  0.00  0.00  5.63  5.13  6.24  0.53  0.36  0.71   9.22e-04   8.78e-04   9.62e-04  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.3280  0.0000  0.0000  0.145   93.1   1.03    124
ZWCL_1742                   8267  0.000  1.160  3.66  0.00  0.00  3.52  3.37  3.68  0.78  0.64  0.93   7.99e-03   7.61e-03   8.37e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.0757  0.0000  0.0000  1.089   97.7   0.87    172
ZWCL_1953                   1659  0.000  0.320  3.10  0.00  0.00 11.35  8.67 15.90  0.00  0.00  0.18   6.99e-04   6.66e-04   7.32e-04  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.3800  0.0000  0.0000  0.060   96.8   1.03     42
ZWCL_3146                    909  0.000  0.380  2.70  0.00  0.00  5.11  4.94  5.29  0.44  0.38  0.50   5.73e-03   5.63e-03   5.84e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.2900  0.0000  0.0000  0.604   99.6   1.12    292
ZWCL_7160                    543  0.000  0.420  3.10  0.00  0.00  4.21  3.94  4.52  0.62  0.47  0.79   4.25e-03   4.03e-03   4.47e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.2578  0.0000  0.0000  0.463   99.3   0.83    126
ZWICKY_2701                 3195  0.000  0.480  0.83  0.00  0.00  4.17  3.97  4.39  0.64  0.51  0.77   2.16e-03   2.07e-03   2.24e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.2100  0.0000  0.0000  0.389   95.1   1.01    159
ZwCl_0857.9+2107            7897  0.000  0.440  3.38  0.00  0.00  3.16  2.94  3.42  0.54  0.35  0.75   2.92e-03   2.68e-03   3.16e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.2350  0.0000  0.0000  0.289   98.8   1.30     79
1E0657_56        5356+3184+5361  0.000  0.380  6.53  0.00  0.00 11.07 10.41 11.82  0.32  0.23  0.40   1.14e-03   1.12e-03   1.17e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.2960  0.0000  0.0000  0.111   98.2   1.14    635
ABELL_0209             3579+522  0.000  0.490  1.68  0.00  0.00  7.13  6.15  8.50  0.36  0.08  0.66   1.02e-03   9.51e-04   1.11e-03  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.2060  0.0000  0.0000  0.113   98.4   1.10     81
ABELL_0262            7921+2215  0.000  4.990  5.64  0.00  0.00  2.19  2.17  2.20  0.73  0.72  0.75   1.87e-02   1.85e-02   1.88e-02  0.00  0.00  0.00   0.00e+00   0.00e+00   0.00e+00  0.0164  0.0000  0.0000  3.901   75.2   7.08    816
