#Name          MBHm   min  plus MBHSG   min  plus  MBHL   min  plus    DMBH     min    plus     CMBH      min     plus BoNDI   min   plus      EDD      min     plus
#             10^9M   ---   --- 10^9M   ---   --- 10^9M   ---   ---    Msun     ---     ---  Msun/yr      ---      ---   ---   ---    ---      ---      ---      --- 
HERCULES_A	0.0   0.0   0.0   0.0   0.0   0.0   0.7   0.3   0.5   6.3E6   1.7E6   8.1E6   5.0E-2   1.4E-2   6.4E-2  2100  1600  13100   3.3E-3   1.9E-3   9.2E-3
HYDRA_A		0.0   0.0   0.0   0.9   0.4   0.7   0.4   0.1   0.2   1.3E7   0.2E7   1.0E7   6.8E-2   0.9E-2   3.1E-2   210   170   1300   3.7E-3   1.8E-3   5.6E-3
MACS_J1423+2404	0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   5.8E6   3.8E6  11.0E6   2.2E-1   1.4E-1   4.0E-1   0.0   0.0    0.0   0.0E-0   0.0E-0   0.0E-0
MKW3S		0.0   0.0   0.0   0.0   0.0   0.0   0.3   0.1   0.1   7.7E6   0.8E6   7.9E6   6.5E-2   0.7E-2   6.7E-2 12000  9000  98000   1.1E-2   0.4E-2   2.2E-2
MS_0735.6+7421	0.0   0.0   0.0   0.0   0.0   0.0   0.7   0.3   0.5   3.2E8   1.2E8   3.5E8   1.1E-0   0.4E-0   1.1E-0 18000 15000 103000   7.9E-2   5.0E-2  20.0E-2
PKS_0745-191	0.0   0.0   0.0   0.0   0.0   0.0   1.1   0.4   0.7   1.4E7   0.2E7   1.1E7   2.7E-1   0.4E-1   2.2E-1   630   490   3570   1.2E-2   0.6E-2   2.5E-2
PKS_1404-267	0.0   0.0   0.0   0.4   0.1   0.1   0.2   0.1   0.1   2.3E4   1.0E4   2.9E4   3.2E-3   1.5E-3   4.1E-3    72    53    266   4.3E-4   2.6E-4   9.2E-4
RBS_797		0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   0.0   7.5E6   3.0E6  10.0E6   1.9E-1   0.9E-1   2.7E-1   0.0   0.0    0.0   0.0E-0   0.0E-0   0.0E-0
SERSIC_159-03	0.0   0.0   0.0   0.0   0.0   0.0   0.6   0.2   0.4   5.0E6   1.6E6   5.3E6   1.2E-1   0.4E-1   1.3E-1  1400  1100   8100   1.0E-2   0.6E-2   2.4E-2
ZWCL_2701	0.0   0.0   0.0   0.0   0.0   0.0   0.6   0.2   0.4   7.2E7   4.1E7  11.0E7   1.0E-0   0.4E-0   1.4E-0 62000 54000 453000   8.2E-2   6.0E-2  25.0E-2
ZWCL_3146	0.0   0.0   0.0   0.0   0.0   0.0   2.6   1.3   2.4   7.7E7   2.3E7   9.2E7   0.9E-0   0.2E-0   1.1E-0   370   300   3060   1.7E-2   1.0E-2   5.4E-2
