#Name			  RAX	 DecX	z	sigma	r200	MDR	CF	CFref	LX	BCG Name		Mk	dr	W0HB	HBerr
#---			  deg	  deg	---	km/s	Mpc	M/yr	--	----	10^44	---			BCG	Mpc	Ang	Ang
ABELL_3560		203.1	-33.1	0.0487	548	0.9	-1	UK	N/A	0.730	2MASX-J13322574-3308100	-25.2	0.097 	-0.05	0.06
ABELL_3571		206.9	-32.9	0.0392	913	1.6	130	N	w/s	3.910	ESO-383--G-076		-26.0	0.022 	-0.07	0.14
ABELL_3581		211.9	-27.0	0.0225	525	0.9	18	Y	w/j	0.320	IC-4374			-24.5	0.003	 1.93	0.09
ABELL_3667		303.1	-56.8	0.0549	852	1.5	196	N	w/m	5.020	IC-4965			-25.8	0.700 	  N/A	 N/A
ABELL_3716		312.9	-52.7	0.0447	748	1.3	-1	UK	N/A	0.480	ESO-187--G-020		-25.2	0.098 	-0.07	0.08
ABELL_4059		359.2	-34.8	0.0496	556	1.0	7	Y	b	1.680	ESO-349--G-010		-26.0	0.019	 2.80	0.12
CID_0072		263.3	 43.8	0.0319	468	0.8	-1	UK	N/A	0.270	IC-1262			-24.6	0.005	 0.35	0.08
IIZW108			318.5	  2.6	0.0482	399	0.7	-1	UK	N/A	1.090	IC-1365-NED02		-25.6	0.115	 0.04	0.06
MKW_04			181.1	  1.9	0.0206	474	0.8	-1	UK	N/A	0.170	NGC-4073		-25.4	0.000 	-0.01	0.05
RBS_0461		 55.3	 15.4	0.0288	502	0.9	-1	UK	N/A	0.250	2MASX-J03412829+1515326	-24.5	0.231	 0.04	0.11
RX_J1740		265.1	 35.7	0.0434	556	1.0	-1	UK	N/A	0.270	CGCG-199-007-NED01	-24.9	0.013 	-0.12	0.08
UGC03957		115.2	 55.4	0.0339	511	0.9	-1	UK	N/A	0.480	UGC-03957		-25.3	0.017 	-0.04	0.05
ZWCL_1665		125.8	  4.4	0.0296	437	0.8	-1	UK	N/A	0.160	IC-0505			-24.9	0.072	 0.02	0.05
ZWCL_2844		150.7	 32.7	0.0504	462	0.8	-1	UK	N/A	0.300	NGC-3099		-25.4	0.048	 0.35	0.07
ZWCL_8338		272.7	 49.9	0.0494	532	0.9	-1	UK	N/A	0.450	NGC-6582-NED02		-25.7	0.098 	-0.09	0.04
ZWCL_8852		347.6	  7.6	0.0402	771	1.3	-1	UK	N/A	0.470	NGC-7503		-25.6	0.108	 0.08	0.07
