ABELL_2065                         31821          NF      0.0730      0.0025      0.0003      0.3567      0.0357      NVSS
ABELL_2151                          4996           F      0.0366      0.0024      0.0004      0.0595      0.0099      NVSS
ABELL_2163                          1653          NF      0.1695      0.0025      0.0003      2.1903      0.2190      NVSS
ABELL_2199                           497           F      0.0300      3.6787      0.1233     83.1768      2.7879      NVSS
ABELL_2244                          4179           F      0.0967      0.0031      0.0004      0.8027      0.1036      NVSS
ABELL_2255                           894          NF      0.0805      0.0025      0.0003      0.4385      0.0438      NVSS
ABELL_2319                          3231          NF      0.0562      0.0025      0.0003      0.2063      0.0206      NVSS
ABELL_2597                           922           F      0.0854      1.8746      0.0562    372.6155     11.1709      NVSS
ABELL_2634                          4816          NF      0.0314      0.0025      0.0003      0.0621      0.0062      NVSS
ABELL_2657                          4941          NF      0.0402      0.0025      0.0003      0.0752      0.0075      NVSS
ABELL_3112                          2516           F      0.0720      1.9150      0.0575    119.1622      3.5780     SUMSS
ABELL_3266                           899          NF      0.0590      0.0060      0.0003      0.2460      0.0123     SUMSS
ABELL_3391                          4943          NF      0.0560      0.0060      0.0003      0.2207      0.0110     SUMSS
ABELL_3558                          1646           F      0.0480      0.0040      0.0006      0.2379      0.0357      NVSS
ABELL_3562                          4167          NF      0.0490      0.0025      0.0003      0.1552      0.0155      NVSS
ABELL_3571                          4203          NF      0.0391      0.0025      0.0003      0.0974      0.0097      NVSS
ABELL_3921                          4973          NF      0.0927      0.0060      0.0003      0.6374      0.0319     SUMSS
ABELL_4038                          4992           F      0.0300      0.0275      0.0013      0.6218      0.0294      NVSS
AWM7                                 908          NF      0.0172      0.0025      0.0003      0.0182      0.0018      NVSS
CENTAURUS                           4954           F      0.0109      5.6740      0.1703      7.3813      0.2215     SUMSS
COMA                                 556          NF      0.0231      0.0025      0.0003      0.0332      0.0033      NVSS
EXO_0422-086                        4183           F      0.0397      0.1124      0.0034      4.5165      0.1366      NVSS
MKW3S                                900           F      0.0450      0.0113      0.0010      0.5881      0.0520      NVSS
MKW_04                              3234          NF      0.0198      0.0025      0.0003      0.0242      0.0024      NVSS
OPHIUCHUS                           3200           F      0.0280      0.0288      0.0010      0.5655      0.0196      NVSS
RBS_0461                            4182           F      0.0290      0.0200      0.0010      0.3079      0.0154      NVSS
SERSIC_159-03                       1668           F      0.0580      0.4721      0.0142     18.6788      0.5618     SUMSS
ZWCL_1215                           4184          NF      0.0750      0.0025      0.0003      0.3776      0.0378      NVSS
3C_129                              2218           F      0.0223      1.8736      0.0652     18.3561      0.6388      NVSS
3C_129                              2219           F      0.0223      1.8736      0.0652     18.3561      0.6388      NVSS
ABELL_0400                          4181          NF      0.0240      0.0025      0.0003      0.0284      0.0028      NVSS
ABELL_0426                          3209           F      0.0179     22.8292      0.6849    143.1296      4.2940      NVSS
ABELL_0426                          4289           F      0.0179     22.8292      0.6849    143.1296      4.2940      NVSS
ABELL_0539                          5808          NF      0.0288      0.0025      0.0003      0.0413      0.0041      NVSS
ABELL_0539                          7209          NF      0.0288      0.0025      0.0003      0.0413      0.0041      NVSS
ABELL_3395                          4944          NF      0.0510      0.0060      0.0003      0.1817      0.0091     SUMSS
ABELL_3581                          1650           F      0.0218      0.6455      0.0228      6.0390      0.2133      NVSS
UGC_03957                           8265           F      0.0341      0.0526      0.0020      1.2270      0.0467      NVSS
ZWCL_1742                           8267           F      0.0757      0.0912      0.0033     11.1479      0.4034      NVSS
ABELL_3528S                         8268           F      0.0530      1.0527      0.0402     61.0250      2.3304      NVSS
ABELL_3822                          8269          NF      0.0759      0.0060      0.0003      0.4172      0.0209     SUMSS
ABELL_S0405                         8272           F      0.0613      0.0285      0.0012      1.2657      0.0533     SUMSS
ABELL_2147                          3211           F      0.0356      0.0161      0.0011      0.4103      0.0280      NVSS
ABELL_2589                          3210          NF      0.0415      0.0025      0.0003      0.0873      0.0087      NVSS
MKW_08                              4942          NF      0.0270      0.0025      0.0003      0.0362      0.0036      NVSS
