#Name                              Obsid       z         SB0         S01         +/-         rc1         +/-       beta1         +/-         S02         +/-         rc2         +/-       beta2         +/-     chisq  dof        prob
MS_0906.5+1110                       924  0.1630    6.24E-05    3.23E-05    1.93E-06     165.331       2.871       1.000       0.000    3.69E-05    5.65E-06      20.982       5.474       0.379       0.013    181.74   53    5.55E-16
MS_1006.0+1202                       925  0.2210    2.94E-05    5.17E-06    1.17E-06     358.574      29.380       1.000       0.000    2.39E-05    1.57E-06      80.541      12.804       0.565       0.034     64.73   52    1.11E-01
MS_1008.1-1224                       926  0.3010    4.57E-05    4.21E-05    7.73E-06      29.726      14.124       0.517       0.215    8.83E-06    3.34E-06     337.458     105.734       0.813       0.226     66.01   41    7.92E-03
MS_1455.0+2232                      4192  0.2590    7.02E-04    1.37E-04    9.88E-06      94.211       1.491       1.000       0.000    6.98E-04    1.70E-05      22.079       0.846       0.538       0.004    397.55   47    0.00E+00
MS_2137.3-2353                      4974  0.3130    1.19E-03    1.18E-03    4.24E-03      26.650      87.426       0.742       4.589    3.00E-04    3.99E-03      52.391      84.850       0.606       0.339     33.37   28    2.22E-01
MS_J1157.3+5531                     4964  0.0810    4.09E-04    3.34E-06    5.87E-07      97.535      18.331       0.548       0.041    6.31E-04    3.16E-05       5.986       0.480       0.641       0.028     30.86   36    7.11E-01
OPHIUCHUS                           3200  0.0280    7.37E-04    4.29E-04    5.48E-05       4.326       0.954       0.273       0.001    4.14E-04    5.31E-05       4.467       0.378       1.000       0.000    251.16   31    0.00E+00
PKS_0745-191               2427_508_6103  0.1028    1.66E-03    5.23E-05    1.12E-06     257.820       2.259       1.000       0.000    1.55E-03    1.54E-05      34.672       0.458       0.653       0.005    638.08   75    0.00E+00
RBS_0533             3186_3187_5800_5801  0.0123    5.72E-04    3.80E-04    4.89E-06       2.736       0.031       0.448       0.001    9.23E-04    0.00E+00       0.000       0.000       0.237       0.000   3135.90   62    0.00E+00
RX_J0232.2-4420                     4993  0.2836    3.11E-04    3.20E-04   -0.00E+00       0.000      -0.000       0.564      -0.000    1.44E-04    6.05E-06      71.353       2.677       0.552       0.005    378.53   43    0.00E+00
RX_J0439.0+0715                3583_1449  0.2300    1.12E-04    3.09E-05    7.98E-06     197.560      22.904       0.754       0.024    9.45E-05    1.34E-05      57.546      25.895       0.908       0.555     65.93   51    7.79E-02
RX_J0528.9-3927                     4994  0.2632    1.42E-04    9.39E-05    4.52E-06      70.905       3.156       0.530       0.005    1.51E-04    0.00E+00       0.000       0.000       0.588       0.000    153.73   46    1.57E-13
RX_J0647.7+7015                3196_3584  0.5840    4.01E-05    9.96E-05   -0.00E+00       0.000      -0.000       0.785      -0.000    4.32E-05    1.95E-06     137.524       6.472       0.662       0.013     43.69   26    1.63E-02
RX_J1347.5-1145                 3592_507  0.4510    1.45E-03    1.52E-03    4.78E-05      30.484       1.658       1.000       0.000    5.19E-04    3.31E-05      73.819       2.621       0.630       0.004     87.62   30    1.50E-07
RX_J1423.8+2404                1657_4195  0.5450    6.07E-04    9.23E-04    1.97E-05      22.560       0.399       0.529       0.002    0.00E+00    0.00E+00      17.537       0.000       0.513       0.000    147.14   27    0.00E+00
RX_J1504.1-0248                     5793  0.2150    2.62E-03    2.60E-03    3.03E-05      41.164       0.509       1.000       0.000    2.66E-04    1.75E-05      92.926       3.286       0.671       0.005    159.51   54    2.35E-12
RX_J1532.9+3021                1665_1649  0.3450    1.02E-03    3.48E+00    5.98E+05       0.056    5632.645       0.453       0.169    6.97E-04    4.56E-04      55.166      17.700       0.692       0.109     53.17   37    4.14E-02
RX_J1720.1+2638                     4361  0.1640    7.01E-04    9.53E-05    8.77E-05      92.963      20.596       0.606       0.013    5.82E-04    1.01E-04      36.446      10.361       0.748       0.333    185.45   63    5.40E-14
RX_J1720.2+3536           7225_3280_6107  0.3913    2.87E-04    2.99E-04    1.05E-05      49.942       1.476       1.000       0.000    3.40E-05    2.58E-06     170.852       9.745       0.732       0.016     55.96   34    1.02E-02
S0463                          6956_7250  0.0986    7.83E-06    9.24E-06    1.56E-06      17.112       4.801       0.579       0.090    1.25E-06    3.24E-08     794.390      13.046       1.000       0.000    171.51   79    8.44E-09
SC_1327-312                         4165  0.0531    1.35E-05    3.54E-06    8.78E-07     148.792      12.563       1.000       0.000    1.81E-05    4.58E-06       9.459       5.361       0.309       0.015     49.49   55    6.84E-01
SERSIC_159-03                       1668  0.0580    8.59E-04    6.90E-04    2.52E-04      29.280       5.323       0.589       0.057    5.40E-04    1.47E-02       1.899      55.381       0.511       4.328     37.88   30    1.53E-01
SS2B153                             3243  0.0186    8.62E-04    2.06E-04    3.00E-04       6.372       4.794       0.472       0.006    7.92E-04    3.45E-04       2.708       2.118       0.786       0.963    106.38   36    7.08E-09
ZWCL_1215                           4184  0.0750    2.85E-05    1.12E-05    8.44E-06     296.304     158.967       0.789       0.421    1.46E-05    9.90E-06      45.488      53.341       0.519       0.785     99.66   84    1.17E-01
ZWCL_3146                            909  0.2900    1.17E-03    1.24E-03    8.24E-05      30.938       4.906       0.661       0.136    1.17E-04    6.22E-05     135.406      27.397       0.736       0.077     69.57   42    4.74E-03
ZWICKY_2701                         3195  0.2100    3.82E-04    4.53E-04    1.23E-05      40.236       0.983       0.565       0.004    0.00E+00    0.00E+00       6.321       0.000       0.571       0.000     85.68   31    5.07E-07
