#Name                              Obsid       z         SB0         S01         +/-         rc1         +/-       beta1         +/-         S02         +/-         rc2         +/-       beta2         +/-     chisq  dof        prob
ABELL_0753                     4999_5000  0.0140    6.52E-04    2.11E-05    3.37E-02       0.254     710.052       0.262       0.012    1.13E-03    5.71E-03       1.098       2.205       0.761       0.548     84.10   60    2.18E-02
ABELL_0754                           577  0.0543    2.95E-05    2.77E-05    3.56E-07      83.781       2.206       0.378       0.003    2.31E-06    4.30E-06       9.115      14.827       1.000       0.000    165.20   70    1.14E-09
ABELL_0773                          5006  0.2170    3.83E-05    4.20E-05    1.24E-06     150.855       4.806       0.626       0.008    5.21E-05    0.00E+00       0.000       0.000       0.662       0.000    133.93   54    9.81E-09
ABELL_0907                          3185  0.1527    3.21E-04    3.03E-05    3.21E-06     176.811      17.468       0.960       0.080    3.00E-04    9.59E-06      22.141       1.038       0.504       0.004    481.16   65    0.00E+00
ABELL_0963                           903  0.2056    3.26E-04    1.08E-04    1.50E-04     116.072      57.548       0.608       0.185    2.11E-04    1.56E-04      33.106      25.210       0.560       0.742     58.76   32    2.70E-03
ABELL_1060                          2220  0.0125    4.58E-05    2.00E-05    3.51E-07      31.281       2.807       0.411       0.022    3.78E-05    7.18E-06       2.977       0.351       1.000       0.000     48.55   39    1.41E-01
ABELL_1063S                         4966  0.3540    1.94E-04    2.63E-04   -0.00E+00       0.000      -0.000       0.596      -0.000    1.54E-04    2.98E-06     157.334       3.165       0.709       0.007    140.31   36    3.04E-14
ABELL_1068                          1652  0.1375    1.99E-03    4.38E-04    2.05E-05      49.915       1.665       0.599       0.005    1.95E-03    4.83E-05      18.810       0.477       1.000       0.000     33.40   32    3.99E-01
ABELL_1201                          4216  0.1688    1.23E-04    2.69E-05    2.39E-06     120.021      14.872       0.459       0.017    1.03E-04    7.37E-06      41.123       2.805       1.000       0.000     42.66   28    3.75E-02
ABELL_1204                          2205  0.1706    8.49E-04    7.98E-04    3.13E-04      30.000       5.576       0.628       0.049    1.25E+00    9.55E+05       0.022   10312.870       0.439       0.310     80.65   63    6.63E-02
ABELL_1413                          5003  0.1426    1.33E-04    9.76E-05    3.78E-06      75.954       2.705       0.533       0.005    4.55E-05    5.53E-06      30.813       4.567       1.000       0.000    191.58   28    0.00E+00
ABELL_1644                          2206  0.0471    1.36E-04    1.25E-04    8.11E-06      14.087       0.716       1.000       0.000    2.09E-05    1.39E-06      50.521       6.972       0.390       0.017     52.51   32    1.26E-02
ABELL_1650                          4178  0.0843    3.43E-04    2.26E-04    2.30E-05      41.990       3.397       0.457       0.005    1.46E-04    4.62E-05      11.260      13.982       0.823       1.240     57.43   30    1.86E-03
ABELL_1651                          4185  0.0840    1.09E-04    1.90E-05    1.58E-06     288.875      24.254       0.862       0.047    8.32E-05    2.86E-06      87.335       3.417       1.000       0.000    146.98   83    1.92E-05
ABELL_1689                 540_1663_5004  0.1843    3.77E-04    3.98E-05    1.54E-05     244.950      34.567       0.809       0.060    3.31E-04    2.11E-05      61.952       9.130       0.722       0.144    106.81   62    3.54E-04
ABELL_1736                          4186  0.0338    8.18E-06    3.26E-06    1.48E-07     345.651      11.591       1.000       0.000    2.52E-06    2.97E-07      72.872      10.300       1.000       0.000    110.03   76    6.51E-03
ABELL_1758                          2213  0.2792    2.50E-05    1.60E-05    1.88E-07     584.128       3.725       1.000       0.000    2.85E-05    0.00E+00       0.000       0.000       0.583       0.000    446.69   41    0.00E+00
ABELL_1763                          3591  0.1866    3.13E-05    3.77E-05    1.24E-06     115.417       4.162       0.533       0.006    0.00E+00    0.00E+00      28.193       0.000       0.422       0.000     70.71   59    1.41E-01
ABELL_1795                      493_5289  0.0625    7.68E-04    6.36E-05    1.79E-06     217.249       1.031       1.000       0.000    6.10E-04    7.12E-06      43.199       1.278       0.792       0.025    912.53   75    0.00E+00
ABELL_1835                           495  0.2532    2.75E-03    4.00E-04    2.46E-05     105.254       4.402       0.620       0.006    2.72E-03    4.77E-05      43.692       0.791       1.000       0.000     89.31   33    4.39E-07
ABELL_1914                          3593  0.1712    1.42E-04    6.64E-05    2.42E-06     247.416       2.915       1.000       0.000    9.19E-05    9.17E-06      27.441       4.611       0.446       0.012    176.46   56    2.15E-14
ABELL_1991                          3193  0.0565    1.05E-03    3.36E-04    1.73E-05      19.337       0.769       0.507       0.003    8.91E-04    2.89E-05       8.776       0.322       1.000       0.000     49.58   31    1.85E-02
ABELL_2029                 4977_6101_891  0.0765    2.08E-03    1.12E-04    9.04E-07     220.203       0.508       1.000       0.000    9.66E-04    5.91E-06      38.311       0.453       0.712       0.007   9105.06   76    0.00E+00
ABELL_2034                          2204  0.1130    3.07E-05    1.86E-05    3.77E-07     255.006       5.695       0.742       0.009    1.05E-05    1.26E-06      59.752       7.186       1.000       0.000    487.22   86    0.00E+00
ABELL_2052                      5807_890  0.0353    3.40E-04    4.33E-04    2.16E-06      15.790       0.099       0.467       0.001    0.00E+00    0.00E+00       4.305       0.000       1.000       0.000   8599.41   30    0.00E+00
ABELL_2063                     4187_6263  0.0351    7.38E-05    4.61E-05    5.29E-07      77.613       1.239       0.650       0.005    0.00E+00    0.00E+00       7.689       0.000       0.331       0.000   2360.67   78    0.00E+00
ABELL_2065                         31821  0.0730    1.25E-04    4.68E-05    1.49E-06      60.932       2.066       0.453       0.003    8.90E-05    8.11E-06      17.097       1.308       1.000       0.000    275.38   73    0.00E+00
ABELL_2069                          4965  0.1160    5.64E-06    2.86E-06    6.97E-07     712.297      36.260       1.000       0.000    3.43E-06    8.36E-07     213.355     127.341       0.886       0.822    138.87   78    2.73E-05
ABELL_2104                           895  0.1554    5.28E-05    3.42E-05    2.02E-05     208.387     101.088       0.707       0.367    1.94E-05    2.29E-05      24.711      46.292       0.438       0.967     36.14   24    5.32E-02
ABELL_2142                5005_1228_1196  0.0898    1.89E-04    2.08E-04    1.28E-06      87.051       0.680       0.557       0.002    0.00E+00    0.00E+00      10.380       0.000       1.000       0.000   1246.59   51    0.00E+00
ABELL_2147                          3211  0.0356    1.45E-05    7.28E-06    1.89E-06     102.870      22.709       0.439       0.070    1.18E-03    2.64E+02       0.005    1352.426       0.318       0.325    142.11   89    2.98E-04
ABELL_2163                          1653  0.1695    5.53E-05    3.88E-05    7.88E+00       0.003    1920.331       0.224       0.044    5.35E-05    1.63E-06     218.124       8.623       0.708       0.027    597.78   67    0.00E+00
ABELL_2199                           497  0.0300    1.20E-03    3.49E-04    7.28E-06      31.809       1.051       0.475       0.006    7.75E-04    2.37E-05       9.668       0.286       1.000       0.000    110.57   30    3.71E-11
ABELL_2204                      6104_499  0.1524    3.42E-03    9.44E-05    1.77E-05     135.590      10.329       0.657       0.017    3.83E-03    8.21E-05      18.877       0.957       0.618       0.027    182.30   74    4.06E-11
