#Name                             Obsid  type       z          flux           err         power           err           lum           err      surv
# --                                 --    --      --            Jy            Jy      10^40e/s      10^40e/s      10^40e/s      10^40e/s        --
ABELL_1689                         1663     F  0.1843       0.01030       0.00050       1.38771       0.06736       8.62409       0.41865      NVSS
ABELL_1689                         5004    NF  0.1843       0.00250       0.00025       0.33682       0.03368       2.09323       0.20932      NVSS
ABELL_1689                          540     F  0.1843       0.01030       0.00050       1.38771       0.06736       8.62409       0.41865      NVSS
ABELL_1736                         4186    NF  0.0338       0.00250       0.00025       0.00922       0.00092       0.05727       0.00573      NVSS
ABELL_1758                         2213    NF  0.2792       0.00250       0.00025       0.86323       0.08632       5.36467       0.53647      NVSS
ABELL_1763                         3591    NF  0.1866       0.00250       0.00025       0.34627       0.03463       2.15190       0.21519      NVSS
ABELL_1795                          493     F  0.0622       0.92450       0.02770      12.03920       0.36072      72.17024       2.16237      NVSS
ABELL_1795                         5289     F  0.0625       0.92450       0.02770      12.16094       0.36437      72.90003       2.18424      NVSS
ABELL_1835                          495     F  0.2532       0.03930       0.00160      10.84232       0.44142      67.38078       2.74324      NVSS
ABELL_1914                         3593    NF  0.1712       0.00250       0.00025       0.28593       0.02859       1.77695       0.17769      NVSS
ABELL_1942                         3290     F  0.2240       0.74330       0.02390     155.18552       4.98982     964.41720      31.00978      NVSS
ABELL_1991                         3193     F  0.0565       0.03900       0.00120       0.41557       0.01279       2.58259       0.07946      NVSS
ABELL_1995                          906    NF  0.3186       0.00250       0.00025       1.17231       0.11723       7.28546       0.72855      NVSS
ABELL_2029                         4977     F  0.0765       0.52780       0.01820      10.61408       0.36600      65.96235       2.27456      NVSS
ABELL_2029                         6101     F  0.0765       0.52780       0.01820      10.61408       0.36600      65.96235       2.27456      NVSS
ABELL_2029                          891     F  0.0761       0.52780       0.01820      10.49736       0.36198      65.23698       2.24955      NVSS
ABELL_2034                         2204    NF  0.1130       0.00250       0.00025       0.11543       0.01154       0.71735       0.07174      NVSS
ABELL_2052                         5807     F  0.0353       5.49930       0.20910      22.16051       0.84261     211.79998       8.05328      NVSS
ABELL_2052                          890     F  0.0353       5.49930       0.20910      22.16051       0.84261     211.79998       8.05328      NVSS
ABELL_2063                         4187     F  0.0351       0.01460       0.00060       0.05815       0.00239       0.36139       0.01485      NVSS
ABELL_2063                         6263     F  0.0351       0.01460       0.00060       0.05815       0.00239       0.36139       0.01485      NVSS
ABELL_2065                        31821    NF  0.0730       0.00250       0.00025       0.04555       0.00456       0.28308       0.02831      NVSS
ABELL_2069                         4965    NF  0.1160       0.00250       0.00025       0.12214       0.01221       0.75903       0.07590      NVSS
ABELL_2104                          895    NF  0.1554       0.00250       0.00025       0.23090       0.02309       1.43496       0.14350      NVSS
ABELL_2111                          544    NF  0.2300       0.00250       0.00025       0.55416       0.05542       3.44388       0.34439      NVSS
ABELL_2124                         3238    NF  0.0658       0.00250       0.00025       0.03663       0.00366       0.22761       0.02276      NVSS
ABELL_2125                         2207     F  0.2465       0.04110       0.00160      10.66532       0.41520      66.28079       2.58027      NVSS
ABELL_2142                         1196    NF  0.0898       0.00250       0.00025       0.07060       0.00706       0.43872       0.04387      NVSS
ABELL_2142                         1228    NF  0.0898       0.00250       0.00025       0.07060       0.00706       0.43872       0.04387      NVSS
ABELL_2142                         5005    NF  0.0898       0.00250       0.00025       0.07060       0.00706       0.43872       0.04387      NVSS
ABELL_2147                         3211    NF  0.0356       0.00250       0.00025       0.01025       0.00103       0.06371       0.00637      NVSS
ABELL_2163                         1653    NF  0.1695       0.00250       0.00025       0.27968       0.02797       1.73810       0.17381      NVSS
ABELL_2199                          497     F  0.0300       3.67870       0.12330      10.62076       0.35598     160.73483       5.38739      NVSS
ABELL_2204                          499     F  0.1524       0.06930       0.00250       6.13209       0.22122      38.10856       1.37477      NVSS
ABELL_2204                         6104     F  0.1524       0.06930       0.00250       6.13209       0.22122      38.10856       1.37477      NVSS
ABELL_2218                         1666    NF  0.1713       0.00250       0.00025       0.28630       0.02863       1.77924       0.17792      NVSS
ABELL_2219                          896    NF  0.2256       0.00250       0.00025       0.53043       0.05304       3.29639       0.32964      NVSS
ABELL_2244                         4179     F  0.0967       0.00310       0.00040       0.10249       0.01322       0.63695       0.08219      NVSS
ABELL_2255                          894    NF  0.0805       0.00250       0.00025       0.05599       0.00560       0.34795       0.03479      NVSS
ABELL_2256                         1386    NF  0.0579       0.00250       0.00025       0.02803       0.00280       0.17422       0.01742      NVSS
ABELL_2259                         3245    NF  0.1640       0.00250       0.00025       0.26001       0.02600       1.61584       0.16158      NVSS
ABELL_2261                         5007     F  0.2240       0.00530       0.00050       1.10653       0.10439       6.87665       0.64874      NVSS
ABELL_2294                         3246    NF  0.1780       0.00250       0.00025       0.31174       0.03117       1.93734       0.19373      NVSS
ABELL_2319                         3231    NF  0.0562       0.00250       0.00025       0.02635       0.00263       0.16373       0.01637      NVSS
ABELL_2384                         4202    NF  0.0945       0.00250       0.00025       0.07869       0.00787       0.48906       0.04891      NVSS
ABELL_2390                         4193     F  0.2301       0.23530       0.00830      52.20889       1.84162     324.45780      11.44496      NVSS
ABELL_2409                         3247    NF  0.1479       0.00250       0.00025       0.20713       0.02071       1.28726       0.12873      NVSS
ABELL_2537                         4962    NF  0.2950       0.00250       0.00025       0.98033       0.09803       6.09235       0.60924      NVSS
ABELL_2550                         2225     F  0.1543       0.00430       0.00050       0.39099       0.04546       2.42987       0.28254      NVSS
ABELL_2554                         1696    NF  0.1103       0.00250       0.00025       0.10958       0.01096       0.68097       0.06810      NVSS
ABELL_2556                         2226    NF  0.0862       0.00250       0.00025       0.06472       0.00647       0.40221       0.04022      NVSS
ABELL_2597                          922     F  0.0854       1.87460       0.05620      47.57886       1.42640     679.39582      20.36810      NVSS
ABELL_2626                         3192     F  0.0573       0.05450       0.00240       0.59799       0.02633       3.71630       0.16365      NVSS
ABELL_2631                         3248    NF  0.2779       0.00250       0.00025       0.85400       0.08540       5.30727       0.53073      NVSS
ABELL_2634                         4816    NF  0.0314       0.00250       0.00025       0.00792       0.00079       0.04924       0.00492      NVSS
ABELL_2657                         4941    NF  0.0402       0.00250       0.00025       0.01316       0.00132       0.08180       0.00818      NVSS
ABELL_2667                         2214     F  0.2300       0.01940       0.00100       4.30027       0.22166      26.72452       1.37755      NVSS
ABELL_2670                         4959     F  0.0763       0.00620       0.00050       0.12400       0.01000       0.77058       0.06214      NVSS
ABELL_2717                         6974     F  0.0475       0.51550       0.01730       3.83095       0.12857      23.80783       0.79898      NVSS
ABELL_2744                         2212    NF  0.3080       0.00250       0.00025       1.08351       0.10835       6.73356       0.67336      NVSS
ABELL_3376                         3202    NF  0.0456       0.00250       0.00025       0.01707       0.00171       0.10611       0.01061      NVSS
ABELL_3376                         3450    NF  0.0456       0.00250       0.00025       0.01707       0.00171       0.10611       0.01061      NVSS
ABELL_3558                         1646     F  0.0480       0.00400       0.00060       0.03038       0.00456       0.18879       0.02832      NVSS
ABELL_3562                         4167    NF  0.0490       0.00250       0.00025       0.01981       0.00198       0.12314       0.01231      NVSS
ABELL_3571                         4203    NF  0.0391       0.00250       0.00025       0.01243       0.00124       0.07725       0.00773      NVSS
ABELL_3921                         4973    NF  0.0927       0.00250       0.00025       0.07554       0.00755       0.46942       0.04694      NVSS
ABELL_4038                         4992     F  0.0300       0.02750       0.00130       0.07940       0.00375       0.49341       0.02332      NVSS
ABELL_4059                         5785     F  0.0475       1.28470       0.04330       9.54727       0.32178     173.04190       5.83227      NVSS
ABELL_4059                          897     F  0.0475       1.28470       0.04330       9.54727       0.32178     173.04190       5.83227      NVSS
AC_114                             1562    NF  0.3120       0.00250       0.00025       1.11652       0.11165       6.93873       0.69387      NVSS
AWM7                                908    NF  0.0172       0.00250       0.00025       0.00233       0.00023       0.01446       0.00145      NVSS
CL_0024+17                          929     F  0.3940       0.00260       0.00040       2.00959       0.30917      12.48884       1.92136      NVSS
CL_J0030+2618                      1190    NF  0.5000       0.00250       0.00025       3.41998       0.34200      21.25385       2.12538      NVSS
CL_J0030+2618                      1226    NF  0.5000       0.00250       0.00025       3.41998       0.34200      21.25385       2.12538      NVSS
CL_J0030+2618                      5762    NF  0.5000       0.00250       0.00025       3.41998       0.34200      21.25385       2.12538      NVSS
CL_J0848+4456                      1708    NF  0.5740       0.00250       0.00025       4.78272       0.47827      29.72270       2.97227      NVSS
CL_J0848+4456                       927    NF  0.5740       0.00250       0.00025       4.78272       0.47827      29.72270       2.97227      NVSS
CL_J1226.9+3332                    3180     F  0.8900       0.00430       0.00050      24.30085       2.82568     151.02027      17.56049      NVSS
CL_J1226.9+3332                    5014     F  0.8900       0.00430       0.00050      24.30085       2.82568     151.02027      17.56049      NVSS
CL_J2302.8+0844                     918     F  0.7300       0.02520       0.00090      87.05967       3.10927     541.04175      19.32292      NVSS
COMA                                556    NF  0.0231       0.00250       0.00025       0.00423       0.00042       0.02631       0.00263      NVSS
CYGNUS_A                            360    NF  0.0561       0.00250       0.00025       0.02625       0.00262       0.10831       0.01083      NVSS
ESO_5520200                        3206    NF  0.0314       0.00250       0.00025       0.00792       0.00079       0.04924       0.00492      NVSS
EXO_0422-086                       4183     F  0.0397       0.11240       0.00340       0.57671       0.01745       3.58404       0.10841      NVSS
HERCULES_A                         1625    NF  0.1541       0.00250       0.00025       0.22667       0.02267       1.40869       0.14087      NVSS
HYDRA_A                            4970     F  0.0549      40.84990       1.27880     410.00784      12.83524    2222.99308      69.59047      NVSS
HYDRA_A                             576     F  0.0522      40.84990       1.27880     369.19435      11.55758    2001.70923      62.66321      NVSS
IRAS_09104+4109                     509     F  0.4420       0.01590       0.00090      16.16556       0.91503     100.46263       5.68656      NVSS
LYNX_E                            17081    NF  0.5740       0.00250       0.00025       4.78272       0.47827      29.72270       2.97227      NVSS
LYNX_E                             9271    NF  1.2600       0.00250       0.00025      33.66877       3.36688     209.23818      20.92382      NVSS
MACS_J0011.7-1523                  3261     F  0.3600       0.03110       0.00150      19.41835       0.93658     120.67743       5.82045      NVSS
MACS_J0011.7-1523                  6105     F  0.3600       0.03110       0.00150      19.41835       0.93658     120.67743       5.82045      NVSS
MACS_J0025.4-1222                  3251    NF  0.5843       0.00250       0.00025       4.99506       0.49951      31.04236       3.10424      NVSS
MACS_J0025.4-1222                  5010    NF  0.5843       0.00250       0.00025       4.99506       0.49951      31.04236       3.10424      NVSS
MACS_J0035.4-2015                  3262    NF  0.3644       0.00250       0.00025       1.60630       0.16063       9.98254       0.99825      NVSS
