#Name                              Obsid        type           z        flux         err        rlum     rlumerr
# ---                                ---        ----         ---          Jy          Jy    10^40e/s    10^40e/s
ABELL_2052                           890           F      0.0353      0.3656      0.0004     14.0815      0.0144
ABELL_2063                          4187           F      0.0351      0.0131      0.0002      0.3245      0.0037
ABELL_2063                          6263           F      0.0351      0.0131      0.0002      0.3245      0.0037
ABELL_2065                         31821           F      0.0730      0.0031      0.0001      0.3499      0.0154
ABELL_2069                          4965          NF      0.1160      0.0007      0.0001      0.2125      0.0413
ABELL_2104                           895          NF      0.1554      0.0007      0.0001      0.4018      0.0815
ABELL_2107                          4960          NF      0.0411      0.0007      0.0002      0.0240      0.0051
ABELL_2111                           544          NF      0.2300      0.0007      0.0001      0.9643      0.1970
ABELL_2125                          2207          OA      0.2465      0.0000     -0.0010     -0.0000     -0.0000
ABELL_2142                          1196          NF      0.0898      0.0007      0.0001      0.1228      0.0237
ABELL_2142                          1228          NF      0.0898      0.0007      0.0001      0.1228      0.0237
ABELL_2142                          5005          NF      0.0898      0.0007      0.0001      0.1228      0.0237
ABELL_2147                          3211           F      0.0356      0.0042      0.0002      0.1065      0.0042
ABELL_2151                          4996           F      0.0366      0.0042      0.0001      0.1125      0.0038
ABELL_2163                          1653          OA      0.1695      0.0000     -0.0010     -0.0000     -0.0000
ABELL_2199                           497           F      0.0300      0.2084      0.0004      9.1066      0.0165
ABELL_2204                           499          NF      0.1524      0.0007      0.0001      0.3849      0.0781
ABELL_2204                          6104          NF      0.1524      0.0007      0.0001      0.3849      0.0781
ABELL_2218                          1666          OA      0.1713      0.0000     -0.0010     -0.0000     -0.0000
ABELL_2219                           896           F      0.2256      0.1385      0.0002    182.5802      0.2004
ABELL_2244                          4179           F      0.0967      0.0022      0.0001      0.4541      0.0271
ABELL_2255                           894          NF      0.0805      0.0007      0.0002      0.0974      0.0212
ABELL_2256                          1386          OA      0.0579      0.0000     -0.0010     -0.0000     -0.0000
ABELL_2256                          2419          OA      0.0579      0.0000     -0.0010     -0.0000     -0.0000
ABELL_2259                          3245          NF      0.1640      0.0007      0.0001      0.4524      0.0898
ABELL_2261                          5007           F      0.2240      0.0034      0.0001      4.4114      0.1907
ABELL_2294                          3246          OA      0.1780      0.0000     -0.0010     -0.0000     -0.0000
ABELL_2319                          3231          OA      0.0562      0.0000     -0.0010     -0.0000     -0.0000
ABELL_2384                          4202          OA      0.0945      0.0000     -0.0010     -0.0000     -0.0000
ABELL_2390                          4193          OA      0.2301      0.0000     -0.0010     -0.0000     -0.0000
ABELL_2409                          3247          OA      0.1479      0.0000     -0.0010     -0.0000     -0.0000
ABELL_2537                          4962          NF      0.2950      0.0007      0.0001      1.7059      0.3558
ABELL_2556                          2226          OA      0.0862      0.0000     -0.0010     -0.0000     -0.0000
ABELL_2597                           922          OA      0.0854      0.0000     -0.0010     -0.0000     -0.0000
ABELL_2626                          3192          OA      0.0573      0.0000     -0.0010     -0.0000     -0.0000
ABELL_2631                          3248          NF      0.2779      0.0007      0.0001      1.4860      0.2908
ABELL_2634                          4816          OA      0.0314      0.0000     -0.0010     -0.0000     -0.0000
ABELL_2657                          4941          OA      0.0402      0.0000     -0.0010     -0.0000     -0.0000
ABELL_2667                          2214          OA      0.2300      0.0000     -0.0010     -0.0000     -0.0000
ABELL_2670                          4959           F      0.0763      0.0052      0.0001      0.6463      0.0174
ABELL_2717                          6974          OA      0.0475      0.0000     -0.0010     -0.0000     -0.0000
ABELL_2744                          2212          OA      0.3080      0.0000     -0.0010     -0.0000     -0.0000
ABELL_3112                          2516          OA      0.0720      0.0000     -0.0010     -0.0000     -0.0000
