#Cluster                   Obsid     IDOF_K0   ICHISQ_K0    IPVAL_K0   IDOF_PLAW ICHISQ_PLAW  IPVAL_PLAW     FDOF_K0   FCHISQ_K0    FPVAL_K0   FDOF_PLAW FCHISQ_PLAW  FPVAL_PLAW
MS_0440.5+0204              4196          16       5.728  9.9078E-01          17      11.132  8.4961E-01          16       6.149  9.8640E-01          17      12.341  7.7909E-01
MS_0451.6-0305               902          13       0.561  1.0000E+00          14       3.731  9.9688E-01          13       0.561  1.0000E+00          14       3.731  9.9688E-01
MS_0735.6+7421              4197          15      22.062  1.0618E-01          16      60.721  3.9548E-07          15      25.591  4.2549E-02          16      77.932  3.9156E-10
MS_0839.8+2938              2224          13       3.118  9.9747E-01          14      21.164  9.7501E-02          13       2.501  9.9922E-01          14      30.666  6.1709E-03
MS_0906.5+1110               924          26       1.253  1.0000E+00          27      19.618  8.4641E-01          26       1.253  1.0000E+00          27      19.618  8.4641E-01
MS_1006.0+1202               925          26       7.002  9.9992E-01          27      29.767  3.2471E-01          26       6.678  9.9995E-01          27      26.320  5.0091E-01
MS_1008.1-1224               926          20       1.447  1.0000E+00          21       4.066  9.9998E-01          20       1.503  1.0000E+00          21       4.073  9.9998E-01
MS_1455.0+2232              4192          13      10.093  6.8631E-01          14      80.054  2.7649E-11          13      10.093  6.8631E-01          14      80.054  2.7649E-11
MS_2137.3-2353              4974          19       5.006  9.9943E-01          20      36.154  1.4751E-02          19       5.763  9.9843E-01          20      50.368  1.9611E-04
MS_J1157.3+5531             4964          10       7.541  6.7358E-01          11      64.852  1.1487E-09          10       7.222  7.0433E-01          11      96.245  9.8648E-16
M49                          321          51      74.033  1.9208E-02          52     327.074  1.5779E-41          51      75.654  1.4079E-02          52     349.432  1.1380E-45
NGC_0507                    2882          58      42.837  9.3190E-01          59      42.837  9.4383E-01          58      46.550  8.5980E-01          59      46.549  8.8018E-01
NGC_5813                    5907          57     107.518  5.9947E-05          58     161.300  1.1377E-11          57     107.518  5.9947E-05          58     161.300  1.1377E-11
NGC_5846                     788          13       1.162  9.9999E-01          14      40.718  1.9697E-04          13       1.162  9.9999E-01          14      40.718  1.9697E-04
OPHIUCHUS                   3200          15       9.752  8.3502E-01          16      42.241  3.6325E-04          15      95.056  1.1199E-13          16     127.431  2.0217E-19
RBS_0461                    4182          67      22.141  1.0000E+00          68     217.680  1.4497E-17          67      22.141  1.0000E+00          68     217.680  1.4497E-17
RBS_0797                    2202          13       3.689  9.9407E-01          14       8.144  8.8172E-01          13       3.737  9.9368E-01          14       8.381  8.6853E-01
RX_J0220.9-3829             9411          19       3.898  9.9991E-01          20      20.586  4.2186E-01          19       4.197  9.9985E-01          20      25.948  1.6755E-01
RX_J0232.2-4420             4993          11       0.845  9.9998E-01          12       5.156  9.5258E-01          11       0.709  9.9999E-01          12       7.424  8.2836E-01
RX_J0439+0520                527          15       6.803  9.6288E-01          16      19.198  2.5852E-01          15       6.642  9.6683E-01          16      21.932  1.4542E-01
RX_J0528.9-3927             4994          18       1.708  1.0000E+00          19      15.101  7.1614E-01          18       1.668  1.0000E+00          19      15.938  6.6140E-01
RX_J0819.6+6336             2199          25      10.134  9.9628E-01          26      11.550  9.9344E-01          25      10.134  9.9628E-01          26      11.550  9.9344E-01
RX_J1000.4+4409             9421          20       1.851  1.0000E+00          21      18.655  6.0729E-01          20       1.943  1.0000E+00          21      21.586  4.2369E-01
RX_J1022.1+3830             6942          15       7.731  9.3410E-01          16      13.558  6.3161E-01          15       8.257  9.1308E-01          16      14.681  5.4812E-01
RX_J1130.0+3637             6945          23       2.006  1.0000E+00          24      54.320  3.8627E-04          23       2.813  1.0000E+00          24      58.109  1.1754E-04
RX_J1320.2+3308             6941           8       5.248  7.3080E-01           9      50.819  7.5545E-08           8       7.009  5.3569E-01           9      49.882  1.1335E-07
RX_J1504.1-0248             5793          24       2.888  1.0000E+00          25     154.855  1.0677E-20          24       2.888  1.0000E+00          25     154.855  1.0677E-20
RX_J1720.1+2638             4361          27       5.342  1.0000E+00          28      94.372  4.0562E-09          27       5.562  1.0000E+00          28      97.938  1.0907E-09
RX_J1852.1+5711             5749           9       2.633  9.7710E-01          10       5.305  8.6989E-01           9       5.059  8.2913E-01          10       7.257  7.0094E-01
RX_J2129.6+0005              552          19       7.006  9.9418E-01          20      21.360  3.7622E-01          19       7.165  9.9328E-01          20      26.008  1.6555E-01
SC_1327-312                 4165          28       1.076  1.0000E+00          29      15.847  9.7722E-01          28       1.027  1.0000E+00          29      16.014  9.7537E-01
SERSIC_159-03               1668          20      15.952  7.1960E-01          21      77.115  2.4367E-08          20      16.811  6.6518E-01          21     136.222  7.0004E-19
SS2B153                     3243          35      24.188  9.1528E-01          36      59.464  8.2347E-03          35      24.188  9.1528E-01          36      59.464  8.2347E-03
UGC_03957                   8265          33       6.631  1.0000E+00          34      84.597  3.3730E-06          33       6.950  1.0000E+00          34      91.608  3.4755E-07
ZwCl_0857.9+2107            7897          13       0.915  1.0000E+00          14      14.357  4.2346E-01          13       0.878  1.0000E+00          14      14.755  3.9507E-01
ZWCL_1358+6245               516          23       5.584  9.9992E-01          24      19.024  7.5072E-01          23       5.646  9.9991E-01          24      32.169  1.2285E-01
ZWCL_1215                   4184          33       2.945  1.0000E+00          34       7.690  1.0000E+00          33       2.945  1.0000E+00          34       7.690  1.0000E+00
ZWCL_1742                   8267          14      14.802  3.9181E-01          15      55.077  1.7335E-06          14      24.076  4.4864E-02          15      69.541  5.3913E-09
ZWCL_1953                   1659          14       0.994  1.0000E+00          15       4.394  9.9613E-01          14       0.994  1.0000E+00          15       4.394  9.9613E-01
ZWCL_3146                    909          12       5.244  9.4934E-01          13      31.824  2.5510E-03          12       5.244  9.4934E-01          13      31.824  2.5510E-03
ZWCL_7160                    543          18       2.426  9.9999E-01          19      29.310  6.1263E-02          18       2.822  9.9998E-01          19      36.375  9.4908E-03
ZWICKY_2701                 3195          21       4.791  9.9991E-01          22      43.009  4.7066E-03          21       5.674  9.9963E-01          22      60.266  2.0411E-05
RX_J1539.5-8335             8266          26      13.285  9.8127E-01          27      40.387  4.7116E-02          26      13.518  9.7882E-01          27      54.079  1.4881E-03
ABELL_2420                  8271          61       5.543  1.0000E+00          62       9.199  1.0000E+00          61       5.543  1.0000E+00          62       9.199  1.0000E+00
ABELL_3364                  9419          52       3.993  1.0000E+00          53      30.040  9.9538E-01          52       3.993  1.0000E+00          53      30.040  9.9538E-01
#Fraction of sample well-represented by SINGLE power-law:      0.626609
#Fraction of sample well-represented by K0+power-law:      0.785408
#Fraction of sample not well-represented by either:      0.214592
#Fraction of sample well-represented by both:      0.412017
