#Cluster                                          Obsid   Tmode    Rmin    Rmax   Ann             t0         t0_err           t100       t100_err      Power-law       Plaw_err          Chisq           Prob
RX_J0647.7+7015                               3196_3584    flat    0.00    0.80    24        5.02867        1.16858        1.98495        0.87985        2.09096        0.30042        0.02135    1.00000E+00
RX_J1347.5-1145                                3592_507    flat    0.00    0.22     8        0.21241        0.14706        3.72417        0.45136        1.43585        0.24484        0.41027    3.58556E-01
RX_J1532.9+3021                               1665_1649    flat    0.00    0.50    21        0.37567        0.03516        2.96364        0.17018        1.91692        0.07720        0.20501    9.98588E-01
RX_J1720.2+3536                          7225_3280_6107    flat    0.00    0.32    13        0.54149        0.07439        4.16605        0.28337        1.68347        0.09759        0.46447    7.03235E-01
2A_0335+096                                         919    flat    0.00    0.12    37        0.17912        0.00343        7.05909        0.12825        1.83843        0.01903        7.94159    0.00000E+00
2PIGG_J0011.5-2850                                 5797    flat    0.00    0.20    27        2.48225        3.31187       18.91234        4.07232        0.83610        0.28566        0.08168    1.00000E+00
2PIGG_J2227.0-3041                                 5798    flat    0.00    0.15    23        0.52901        0.03102       10.34926        0.38229        1.71275        0.05249        1.30745    7.17899E-02
3C_28.0                                            3233    flat    0.00    0.18    12        0.62059        0.03593        7.11910        0.25018        1.95192        0.07632        4.41346    5.36442E-07
3C_295                                             2254    flat    0.00    0.50    17        0.32637        0.05273        4.28669        0.26638        1.91080        0.06859        0.67154    5.84878E-01
3C_388                                             5295    flat    0.00    0.20    24        0.56147        0.10932       17.36807        0.78669        1.19126        0.06819        0.76355    5.90143E-01
4C_55.16                                           4940    flat    0.00    0.40    21        0.82692        0.08452        9.02258        0.40943        1.79355        0.06734        0.56719    8.06364E-01
ABELL_0013                                         4945    flat    0.00    0.30    35        5.40591        1.48096       15.10645        2.20440        1.17760        0.16316        0.35340    9.98686E-01
ABELL_0068                                         3250    flat    0.00    0.60    31        5.63310        1.68708        4.91898        1.96883        1.41806        0.28519        0.12382    1.00000E+00
ABELL_0085                                          904    flat    0.00    0.20    39        0.23057        0.01031        7.31224        0.09267        1.31304        0.01660        1.89526    2.99513E-04
ABELL_0119                                         4180    flat    0.00    0.20    23       11.52060        5.61562       18.25583        7.35490        0.91596        0.56730        0.00546    1.00000E+00
ABELL_0133                                         2203    flat    0.00    0.10    20        0.39702        0.01245       10.65485        0.29005        1.81549        0.03483        5.18885    0.00000E+00
ABELL_0160                                         3219    flat    0.00    0.12    28       10.91017        2.38715       18.16138        3.20845        1.23096        0.49260        0.00890    1.00000E+00
ABELL_0193                                         6931    flat    0.00    0.12    26        8.48046        0.77380        6.17989        1.03476        2.05901        0.67173        0.01611    1.00000E+00
ABELL_0222                                         4967    flat    0.00    0.60    37        7.11167        0.71100        6.08205        1.07139        1.39403        0.13761        0.19898    9.99999E-01
ABELL_0223                                        49671    flat    0.00    0.50    30        8.29177        2.94431       14.69446        4.52620        1.46865        0.30132        0.04661    1.00000E+00
ABELL_0368                                         9412    flat    0.00    0.50    28        1.32674        0.21036        8.50711        0.66041        1.52245        0.10342        0.30161    9.98184E-01
ABELL_0370                                          515    flat    0.00    0.50    20       10.47689        3.48800        4.19662        3.38097        1.39884        0.50454        0.05776    9.99999E-01
ABELL_0383                                         2321    flat    0.00    0.20    13        0.27448        0.03139        5.05801        0.23024        1.66398        0.07804        0.82991    3.06957E-01
ABELL_0399                                         3230    flat    0.00    0.20    31        5.72564        0.63784       13.25891        0.85747        0.87409        0.09219        0.29107    9.99405E-01
ABELL_0400                                         4181    flat    0.00    0.18    73       10.64855        0.53693        8.68397        0.73399        1.31160        0.13429        0.03731    1.00000E+00
ABELL_0496                                         3361    flat    0.00    0.08    26        0.21726        0.01578        9.82553        0.49787        1.42897        0.04801        0.59474    8.46389E-01
ABELL_0520                                         4215    flat    0.00    0.55    33       16.66478        1.89578        0.81597        0.75381        2.12398        0.57446        0.12802    1.00000E+00
ABELL_0521                                          430    flat    0.00    0.15     8       12.65747        1.71064       20.05547        3.92433        2.25437        0.61174        0.08024    8.18250E-01
ABELL_0562                                         6936    flat    0.00    0.27    27       11.09117        2.96646        8.21188        3.67220        1.31427        0.47875        0.07140    1.00000E+00
ABELL_0576                                         3289    flat    0.00    0.08    21        4.36922        1.06032       17.30548        3.00581        1.59315        0.47475        0.17426    9.99470E-01
ABELL_0586                                          530    flat    0.00    0.25    17        2.57164        0.58854        4.37670        0.88200        1.49504        0.27511        0.32550    9.50714E-01
