#Name                              Obsid        type           z        flux         err        rlum     rlumerr
# ---                                ---        ----         ---         mJy         mJy    10^40e/s    10^40e/s
ABELL_2111                           544          NF      0.2300      0.0025      0.0003      4.3399      0.4340
ABELL_2124                          3238          NF      0.0658      0.0025      0.0003      0.2868      0.0287
ABELL_2125                          2207           F      0.2465      0.0411      0.0016     83.5258      3.2516
ABELL_2147                          3211           F      0.0356      0.0161      0.0011      0.5170      0.0353
ABELL_2163                          1653           F      0.1695      0.0306      0.0051     26.8096      4.4683
ABELL_2199                           497           F      0.0300      3.6787      0.1233     83.1768      2.7879
ABELL_2204                           499           F      0.1524      0.0693      0.0025     48.0237      1.7325
ABELL_2204                          6104           F      0.1524      0.0693      0.0025     48.0237      1.7325
ABELL_2218                          1666           F      0.1713      0.0160      0.0016     14.3499      1.4350
ABELL_2219                           896           F      0.2256      0.0020      0.0010      3.3232      1.6616
ABELL_2244                          4179           F      0.0967      0.0031      0.0004      0.8027      0.1036
ABELL_2255                           894           F      0.0805      0.0180      0.0050      3.1570      0.8770
ABELL_2256                          1386          NF      0.0579      0.0025      0.0003      0.2195      0.0220
ABELL_2259                          3245          NF      0.1640      0.0025      0.0003      2.0363      0.2036
ABELL_2261                          5007           F      0.2240      0.0053      0.0005      8.6658      0.8175
ABELL_2294                          3246          NF      0.1780      0.0025      0.0003      2.4414      0.2441
ABELL_2319                          3231           F      0.0562      0.0326      0.0032      2.6905      0.2641
ABELL_2384                          4202           F      0.0945      0.0091      0.0010      2.2433      0.2465
ABELL_2390                          4193           F      0.2301      0.0331      0.0026     57.5172      4.5180
ABELL_2390                          4193           F      0.2301      0.2353      0.0083    408.8757     14.4227
ABELL_2409                          3247          NF      0.1479      0.0025      0.0003      1.6222      0.1622
ABELL_2537                          4962           F      0.2950      0.0139      0.0014     42.6867      4.2994
ABELL_2550                          2225           F      0.1543      0.0043      0.0005      3.0621      0.3561
ABELL_2554                          1696           F      0.1103      0.0212      0.0012      7.2771      0.4119
ABELL_2554                          1696           F      0.1103      0.0166      0.0014      5.6981      0.4806
ABELL_2556                          2226           F      0.0862      0.0176      0.0011      3.5682      0.2230
ABELL_2589                          3210          NF      0.0415      0.0025      0.0003      0.1101      0.0110
ABELL_2597                           922           F      0.0854      1.8746      0.0562    372.6155     11.1709
ABELL_2626                          3192           F      0.0573      0.0047      0.0005      0.4039      0.0430
ABELL_2626                          3192           F      0.0573      0.0545      0.0024      4.6832      0.2062
ABELL_2631                          3248          NF      0.2779      0.0025      0.0003      6.6881      0.6688
ABELL_2634                          4816           F      0.0314      5.6813      0.1902    141.0265      4.7213
ABELL_2667                          2214           F      0.2300      0.0036      0.0005      6.2495      0.8680
ABELL_2667                          2214           F      0.2300      0.0194      0.0010     33.6777      1.7360
ABELL_2670                          4959           F      0.0763      0.0029      0.0006      0.4542      0.0940
ABELL_2717                          6974           F      0.0475      0.5155      0.0173     30.0022      1.0069
ABELL_2744                          2212           F      0.3080      0.0101      0.0017     34.2815      5.7701
ABELL_3112                          2516          OA      0.0720     -0.4440     -0.5550     -0.0000     -0.0000
ABELL_3128                           893          OA      0.0624     -0.4440     -0.5550     -0.0000     -0.0000
ABELL_3158                          3201          OA      0.0580     -0.4440     -0.5550     -0.0000     -0.0000
ABELL_3164                          6955          OA      0.0570     -0.4440     -0.5550     -0.0000     -0.0000
ABELL_3266                           899          OA      0.0590     -0.4440     -0.5550     -0.0000     -0.0000
ABELL_3376                          3202          NF      0.0456      0.0025      0.0003      0.1337      0.0134
ABELL_3376                          3450          NF      0.0456      0.0025      0.0003      0.1337      0.0134
ABELL_3558                          1646           F      0.0480      0.0040      0.0006      0.2379      0.0357
ABELL_3562                          4167           F      0.0490      0.0025      0.0003      0.1552      0.0155
ABELL_3571                          4203           F      0.0391      0.0302      0.0014      1.1761      0.0545
ABELL_3667                          5751          OA      0.0556     -0.4440     -0.5550     -0.0000     -0.0000
ABELL_3921                          4973          NF      0.0927      0.0025      0.0003      0.5916      0.0592
ABELL_4038                          4992           F      0.0300      0.0529      0.0026      1.1961      0.0588
AC_114                              1562           F      0.3120      0.0155      0.0012     54.2132      4.1971
CL_0024+17                           929           F      0.3940      0.0026      0.0004     15.7382      2.4213
CL_1221+4918                        1662           F      0.7000      0.0284      0.0014    692.6940     34.1469
CL_J0152-1357                        913          NF      0.8310      0.0025      0.0003     93.2814      9.3281
CL_J0542.8-4100                      914          OA      0.6300     -0.4440     -0.5550     -0.0000     -0.0000
CL_J0848+4456                        927           F      0.5740      0.0051      0.0004     76.4102      5.9930
CL_J1113.1-2615                      915          NF      0.7300      0.0025      0.0003     67.6399      6.7640
CL_J1213+0253                       4934           F      0.4090      0.0031      0.0005     20.5078      3.3077
CL_J1641+4001                       3575           F      0.4640      0.0047      0.0004     42.0506      3.5788
CL_J2302.8+0844                      918           F      0.7300      0.0252      0.0009    681.8106     24.3504
CYGNUS_A                             360           F      0.0561   1598.1901      0.0032 131409.1880      0.2631
DLS_J0514-4904                      4980          OA      0.0912     -0.4440     -0.5550     -0.0000     -0.0000
ESO_3060170                         3189          OA      0.0358     -0.4440     -0.5550     -0.0000     -0.0000
ESO_5520200                         3206           F      0.0314      0.0026      0.0005      0.0645      0.0124
EXO_0422-086                        4183           F      0.0397      0.1335      0.0042      5.3644      0.1688
EXO_0422-086                        4183           F      0.0397      0.0024      0.0005      0.0964      0.0201
HERCULES_A                          1625           F      0.1541     36.6110      1.0000  25996.8797    710.0838
HYDRA_A                             4970           F      0.0549     40.8499      1.2788   3210.9906    100.5196
LYNX_E                              9271           F      1.2600      0.1928      0.0058  20334.8523    611.7331
MACS_J0011.7-1523                   3261           F      0.3600      0.0311      0.0015    152.0755      7.3348
MACS_J0011.7-1523                   6105           F      0.3600      0.0311      0.0015    152.0755      7.3348
MACS_J0025.4-1222                   3251           F      0.5843      0.0287      0.0013    449.0861     20.3419
MACS_J0025.4-1222                   5010           F      0.5843      0.0287      0.0013    449.0861     20.3419
MACS_J0035.4-2015                   3262          NF      0.3644      0.0025      0.0003     12.5798      1.2580
MACS_J0111.5+0855                   3256          NF      0.2627      0.0025      0.0003      5.8769      0.5877
MACS_J0152.5-2852                   3264          NF      0.3407      0.0025      0.0003     10.7397      1.0740
MACS_J0159.0-3412                   5818          NF      0.4584      0.0025      0.0003     21.7240      2.1724
MACS_J0159.8-0849                   3265           F      0.4050      0.0367      0.0012    237.1731      7.7550
MACS_J0159.8-0849                   6106           F      0.4050      0.0367      0.0012    237.1731      7.7550
MACS_J0242.5-2132                   3266           F      0.3140      1.2549      0.0377   4454.9464    133.8365
MACS_J0257.1-2325                   1654          NF      0.5053      0.0025      0.0003     27.4757      2.7476
MACS_J0257.1-2325                   3581          NF      0.5053      0.0025      0.0003     27.4757      2.7476
MACS_J0257.6-2209                   3267           F      0.3224      0.0028      0.0006     10.5711      2.2652
MACS_J0308.9+2645                   3268          NF      0.3240      0.0025      0.0003      9.5482      0.9548
MACS_J0329.6-0211                   3257           F      0.4500      0.0069      0.0006     57.3542      4.9873
MACS_J0329.6-0211                   3582           F      0.4500      0.0069      0.0006     57.3542      4.9873
MACS_J0329.6-0211                   6108           F      0.4500      0.0069      0.0006     57.3542      4.9873
MACS_J0404.6+1109                   3269           F      0.3548      0.0234      0.0008    110.5700      3.7802
MACS_J0417.5-1154                   3270           F      0.4400      0.0041      0.0007     32.2929      5.5134
MACS_J0429.6-0253                   3271           F      0.3990      0.1388      0.0042    865.7203     26.1961
MACS_J0451.9+0006                   5815           F      0.4300      0.0705      0.0025    525.5615     18.6369
MACS_J0455.2+0657                   5812          NF      0.4247      0.0025      0.0003     18.0928      1.8093
MACS_J0520.7-1328                   3272           F      0.3398      0.0930      0.0028    397.0481     11.9541
MACS_J0547.0-3904                   3273           F      0.2100      0.0314      0.0010     44.3815      1.4134
MACS_J0547.0-3904                   3273           F      0.2100      0.0022      0.0005      3.1095      0.7067
MACS_J0553.4-3342                   5813          NF      0.4067      0.0025      0.0003     16.3180      1.6318
MACS_J0717.5+3745                   1655           F      0.5480      0.0909      0.0037   1216.3980     49.5124
MACS_J0717.5+3745                   4200           F      0.5480      0.0909      0.0037   1216.3980     49.5124
MACS_J0744.8+3927                   3197          NF      0.6860      0.0025      0.0003     58.0112      5.8011
MACS_J0744.8+3927                   3585          NF      0.6860      0.0025      0.0003     58.0112      5.8011
MACS_J0744.8+3927                   6111          NF      0.6860      0.0025      0.0003     58.0112      5.8011
MACS_J0911.2+1746                   3587           F      0.5409      0.0031      0.0005     40.1880      6.4819
MACS_J0911.2+1746                   5012          NF      0.5409      0.0025      0.0003     32.4096      3.2410
MACS_J0949+1708                     3274           F      0.3820      0.0021      0.0004     11.8129      2.2501
MACS_J1006.9+3200                   5819          NF      0.3587      0.0025      0.0003     12.1210      1.2121
MACS_J1105.7-1014                   5817          NF      0.4664      0.0025      0.0003     22.6466      2.2647
MACS_J1108.8+0906                   3252          NF      0.4493      0.0025      0.0003     20.7031      2.0703
MACS_J1108.8+0906                   5009          NF      0.4493      0.0025      0.0003     20.7031      2.0703
MACS_J1115.2+5320                   3253          NF      0.4390      0.0025      0.0003     19.5838      1.9584
MACS_J1115.2+5320                   5008          NF      0.4390      0.0025      0.0003     19.5838      1.9584
MACS_J1115.2+5320                   5350          NF      0.4390      0.0025      0.0003     19.5838      1.9584
MACS_J1115.8+0129                   3275           F      0.1200      0.0162      0.0010      6.6691      0.4117
MACS_J1131.8-1955                   3276           F      0.3070      0.0316      0.0025    106.4492      8.4216
MACS_J1149.5+2223                   1656           F      0.1761      0.0028      0.0005      2.6700      0.4768
MACS_J1149.5+2223                   3589           F      0.1761      0.0028      0.0005      2.6700      0.4768
MACS_J1206.2-0847                   3277           F      0.4400      0.1609      0.0063   1267.2986     49.6208
MACS_J1226.8+2153                   3590           F      0.3700      0.0237      0.0008    123.6266      4.1731
MACS_J1311.0-0310                   3258           F      0.4940      0.0039      0.0004     40.5810      4.1622
MACS_J1311.0-0310                   6110           F      0.4940      0.0039      0.0004     40.5810      4.1622
MACS_J1319+7003                     3278           F      0.3275      0.0084      0.0005     32.8973      1.9582
MACS_J1427.2+4407                   6112           F      0.4771      0.0479      0.0018    458.2648     17.2208
MACS_J1427.6-2521                   3279           F      0.2200      0.0034      0.0005      5.3372      0.7849
MACS_J1621.3+3810                   3254           F      0.4610      0.0088      0.0005     77.5148      4.4042
MACS_J1621.3+3810                   3594           F      0.4610      0.0088      0.0005     77.5148      4.4042
MACS_J1621.3+3810                   6109           F      0.4610      0.0088      0.0005     77.5148      4.4042
MACS_J1621.3+3810                   6172           F      0.4610      0.0088      0.0005     77.5148      4.4042
MACS_J1731.6+2252                   3281           F      0.3661      0.0189      0.0011     96.1532      5.5962
MACS_J1931.8-2634                   3282           F      0.3520      0.2165      0.0069   1004.1203     32.0020
MACS_J2046.0-3430                   5816           F      0.4133      0.0081      0.0005     54.9365      3.3911
MACS_J2049.9-3217                   3283          NF      0.3254      0.0025      0.0003      9.6448      0.9645
MACS_J2211.7-0349                   3284           F      0.2700      0.0025      0.0005      6.2586      1.2517
MACS_J2214.9-1359                   3259           F      0.5026      0.0056      0.0006     60.7528      6.5092
MACS_J2214.9-1359                   5011           F      0.5026      0.0056      0.0006     60.7528      6.5092
MACS_J2228+2036                     3285           F      0.4120      0.0082      0.0009     55.1989      6.0584
MACS_J2229.7-2755                   3286           F      0.3240      0.0073      0.0005     27.8807      1.9096
MACS_J2243.3-0935                   3260          NF      0.1010      0.0025      0.0003      0.7104      0.0710
MACS_J2245.0+2637                   3287           F      0.3040      0.0058      0.0005     19.0974      1.6463
MACS_J2311+0338                     3288           F      0.2998      0.0054      0.0007     17.2155      2.2316
MKW3S                                900           F      0.0450      0.0113      0.0010      0.5881      0.0520
MKW_04                              3234           F      0.0198      0.0171      0.0010      0.1658      0.0097
MS_0016.9+1609                       520          NF      0.5410      0.0025      0.0003     32.4242      3.2424
MS_0302.7+1658                       525           F      0.4240      0.0048      0.0005     34.6016      3.6043
MS_0440.5+0204                      4196           F      0.1900      0.0406      0.0016     45.8503      1.8069
MS_0451.6-0305                       902           F      0.5386      0.0144      0.0006    184.7556      7.6981
MS_0735.6+7421                      4197           F      0.2160      0.0211      0.0014     31.7780      2.1085
MS_0839.8+2938                      2224           F      0.1940      0.0247      0.0008     29.2238      0.9465
MS_0906.5+1110                       924          NF      0.1630      0.0025      0.0003      2.0089      0.2009
MS_1006.0+1202                       925           F      0.2210      0.0045      0.0006      7.1368      0.9516
MS_1008.1-1224                       926           F      0.3010      0.0125      0.0029     40.2216      9.3314
MS_1054.5-0321                       512           F      0.8300      0.0031      0.0004    115.3232     14.8804
MS_1455.0+2232                      4192           F      0.2590      0.0165      0.0013     37.5465      2.9582
MS_1621.5+2640                       546           F      0.4260      0.0182      0.0014    132.6804     10.2062
MS_2053.7-0449                      1667          NF      0.5830      0.0025      0.0003     38.9066      3.8907
MS_2137.3-2353                      4974           F      0.3130      0.0038      0.0005     13.3903      1.7619
MS_J1157.3+5531                     4964          NF      0.0810      0.0025      0.0003      0.4443      0.0444
NGC_6338                            4194           F      0.0280      0.0570      0.0018      1.1193      0.0353
OPHIUCHUS                           3200           F      0.0280      0.0332      0.0017      0.6519      0.0334
PKS_0745-191                         508           F      0.1028      2.3720      0.0837    699.9968     24.7006
PKS_0745-191                        6103           F      0.1028      2.3720      0.0837    699.9968     24.7006
RBS_0797                            2202           F      0.3540      0.0217      0.0008    101.9940      3.7601
RDCS_1252-29                        4198           F      1.2370      0.0140      0.0006   1410.1428     60.4347
RX_J0232.2-4420                     4993          OA      0.2836     -0.4440     -0.5550     -0.0000     -0.0000
RX_J0340-4542                       6954          OA      0.0818     -0.4440     -0.5550     -0.0000     -0.0000
RX_J0439+0520                        527           F      0.2080      0.0884      0.0034    122.2848      4.7033
RX_J0439.0+0715                     1449           F      0.2400      0.0306      0.0014     58.5135      2.6771
RX_J0528.9-3927                     4994           F      0.2632      0.0047      0.0006     11.0968      1.4166
RX_J0647.7+7015                     3196           F      0.5840      0.0031      0.0005     48.4467      7.8140
RX_J0647.7+7015                     3584           F      0.5840      0.0031      0.0005     48.4467      7.8140
RX_J0819.6+6336                     2199           F      0.1190      0.0344      0.0014     13.9077      0.5660
RX_J0820.9+0752                     1647           F      0.1100      0.0994      0.0037     33.9205      1.2626
RX_J1347.5-1145                     3592           F      0.4510      0.0459      0.0015    383.5676     12.5349
RX_J1347.5-1145                      507           F      0.4510      0.0459      0.0015    383.5676     12.5349
RX_J1350+6007                       2229           F      0.8040      0.0116      0.0005    398.7183     17.1861
RX_J1423.8+2404                     1657           F      0.5450      0.0072      0.0005     95.0700      6.6021
RX_J1423.8+2404                     1657           F      0.5450      0.0080      0.0011    105.6333     14.5246
RX_J1423.8+2404                     4195           F      0.5450      0.0072      0.0005     95.0700      6.6021
RX_J1423.8+2404                     4195           F      0.5450      0.0080      0.0011    105.6333     14.5246
