#Cluster                Obsid             RA            Dec    Maj    Min  Theta       Flux      Flerr    Found	         z	type	notes
# ---                     ---    hh:mm:ss.ss     hh:mm:ss.s      "      "   deg.        mJy        mJy      ---        ---	----	----
MACS_J1731.6+2252        3281    17:31:39.87     +22:52:2.0   35.9   29.1  -83.3      18.90       1.10        F   0.3661     na     na
MACS_J1931.8-2634        3282    19:31:49.91    -26:35:13.4   61.8   20.1   -3.3     216.50       6.90        F	    0.3520	bcg	psxrp
MACS_J2046.0-3430        5816     20:46:0.68    -34:30:18.5   28.1   26.6    0.0       8.10       0.50        F   0.4133     na     na
MACS_J2049.9-3217        3283    00:00:00.00     00:00:00.0    0.0    0.0    0.0       2.50       0.25       NF   0.3254     na     na
MACS_J2211.7-0349        3284    22:11:52.02    -03:49:10.5  107.0   57.5    0.0       2.50       0.50        F	    0.2700	relic	blatant
MACS_J2214.9-1359        3259    22:14:56.47    -14:00:55.7   74.4   35.8    0.0       5.60       0.60        F	    0.5026	bcg	psxrp
MACS_J2214.9-1359        5011    22:14:56.47    -14:00:55.7   74.4   35.8    0.0       5.60       0.60        F	    0.5026	bcg	psxrp
MACS_J2228+2036          3285    22:28:26.18     +20:37:4.0   39.2   28.7   -7.1       8.20       0.90        F	    0.4120	none	possible relic between three srcs
MACS_J2229.7-2755        3286    22:29:45.42    -27:55:34.7   35.0   28.7    0.0       7.30       0.50        F	    0.3240	bcg	psxrp
MACS_J2243.3-0935        3260    00:00:00.00     00:00:00.0    0.0    0.0    0.0       2.50       0.25       NF   0.1010     na     na
MACS_J2245.0+2637        3287     22:45:4.72     +26:38:4.0   45.8   34.5    0.0       5.80       0.50        F	    0.3040	bcg	possible ext halo
MACS_J2311+0338          3288    23:11:31.72     +03:39:5.9   96.9   74.6    0.0       5.40       0.70        F	    0.2998	relic	very faint diff emi
MKW3S                     900    15:21:52.27    +07:42:46.6   41.8   24.7  -80.2      11.30       1.00        F   0.0450     na     na
MKW_04                   3234    12:04:29.20    +01:54:56.4   25.6   26.9  -72.4      17.10       1.00        F	    0.0198	none	none
MS_0016.9+1609            520    00:00:00.00     00:00:00.0    0.0    0.0    0.0       2.50       0.25       NF	    0.5410	na	na
MS_0302.7+1658            525    03:05:32.10     +17:10:0.1   45.5   36.0    0.0       4.80       0.50        F	    0.4240	bcg	psxrp
MS_0440.5+0204           4196     04:43:9.73    +02:10:13.4   17.5   19.4   39.7      40.60       1.60        F	    0.1900	bcg	psxrp
MS_0451.6-0305            902    04:54:22.05    -03:01:23.9   26.0   20.5    0.0      14.40       0.60        F	    0.5386	none	possible relic due west
MS_0735.6+7421           4197    07:41:44.08    +74:14:36.5   43.1   24.7   23.3      21.10       1.40        F	    0.2160	bcg	psxrp
MS_0839.8+2938           2224    08:42:55.96    +29:27:27.6   19.4   16.7    0.0      24.70       0.80        F	    0.1940	bcg	psxrp
MS_0906.5+1110            924    00:00:00.00     00:00:00.0    0.0    0.0    0.0       2.50       0.25       NF	    0.1630	na	na
MS_1006.0+1202            925    10:08:48.27     +11:48:2.9  128.0   52.7    0.0       4.50       0.60        F	    0.2210	relic	diff elon
MS_1008.1-1224            926    10:10:32.87    -12:39:30.9  105.8   62.8   16.9      12.50       2.90        F	    0.3010	relic	diff elon near merger
MS_1054.5-0321            512    10:56:57.58    -03:38:54.7   53.4   50.2    0.0       3.10       0.40        F	    0.8300	relic	diff blob
MS_1455.0+2232           4192    14:57:15.18    +22:20:36.0   29.5   23.4  -10.4      16.50       1.30        F	    0.2590	bcg	psxrp
MS_1621.5+2640            546    16:23:33.78    +26:34:13.1   87.1   27.3   53.3      18.20       1.40        F	    0.4260	bcg	w/ lobe?
MS_2053.7-0449           1667    00:00:00.00     00:00:00.0    0.0    0.0    0.0       2.50       0.25       NF	    0.5830	na	na
MS_2137.3-2353           4974    21:40:14.99    -23:39:39.5   75.9   44.1    0.0       3.80       0.50        F	    0.3130	bcg	awfully elong...
MS_J1157.3+5531          4964    00:00:00.00     00:00:00.0    0.0    0.0    0.0       2.50       0.25       NF   0.0810     na     na
NGC_6338                 4194    17:15:22.94    +57:24:40.5   19.2   15.5    0.0      57.00       1.80        F   0.0280     na     na
OPHIUCHUS                3200    17:12:27.71    -23:22:11.7   20.9   17.8    0.0      33.20       1.70        F	    0.0280	bcg	psxrp
PKS_0745-191              508    07:47:31.35    -19:17:39.7   14.6   19.8   71.5    2372.00      83.70        F	    0.1028	bcg	psxrp
PKS_0745-191             6103    07:47:31.35    -19:17:39.7   14.6   19.8   71.5    2372.00      83.70        F	    0.1028	bcg	psxrp
RBS_0797                 2202    09:47:12.93    +76:23:12.8   22.8   22.6    0.0      21.70       0.80        F	    0.3540	bcg	psxrp
RDCS_1252-29             4198    12:52:56.77     -29:28:3.7   31.4   20.7    0.0      14.00       0.60        F	    1.2370	none	none
RX_J0232.2-4420          4993    00:00:00.00     00:00:00.0    0.0    0.0    0.0    -444.00    -555.00       OA   0.2836     na     na
RX_J0340-4542            6954    00:00:00.00     00:00:00.0    0.0    0.0    0.0    -444.00    -555.00       OA   0.0818     na     na
RX_J0439+0520             527     04:39:2.19    +05:20:41.5   28.0   16.8   30.0      88.40       3.40        F	    0.2080	bcg	plus lobe
RX_J0439.0+0715          1449     04:39:1.26    +07:15:42.6   50.8   20.4   13.5      30.60       1.40        F	    0.2400	bcg	psxrp
RX_J0528.9-3927          4994    05:28:53.13    -39:28:15.9   87.7   65.8    0.0       4.70       0.60        F   0.2632     na     na
RX_J0647.7+7015          3196    06:48:15.91     +70:15:7.2   94.4   57.8    0.0       3.10       0.50        F	    0.5840	relic	diff emi offset
RX_J0647.7+7015          3584    06:48:15.91     +70:15:7.2   94.4   57.8    0.0       3.10       0.50        F	    0.5840	relic	diff emi offset
RX_J0819.6+6336          2199    08:19:25.81    +63:37:26.4   18.5   19.1  -61.2      34.40       1.40        F	    0.1190	bcg	psxrp
RX_J0820.9+0752          1647    08:20:59.26    +07:51:23.6   45.5   18.8   78.4      99.40       3.70        F	    0.1100	bcg	plus lobe
RX_J1347.5-1145          3592    13:47:30.67     -11:45:8.6   21.4   20.1    0.0      45.90       1.50        F	    0.4510	bcg	psxrp
RX_J1347.5-1145           507    13:47:30.67     -11:45:8.6   21.4   20.1    0.0      45.90       1.50        F	    0.4510	bcg	psxrp
RX_J1350+6007            2229    13:50:59.82     +60:06:9.6   23.1   21.9    0.0      11.60       0.50        F	    0.8040	none	definite relic nearby, no flux...
RX_J1423.8+2404          1657    14:23:45.12    +24:03:40.8   45.3   28.6    0.0       7.20       0.50        F	    0.5450	none	possible companion or lobe
RX_J1423.8+2404          1657    14:23:47.86    +24:04:39.9   58.2   41.0  -21.7       8.00       1.10        F	    0.5450	bcg	see above for lobe?
RX_J1423.8+2404          4195    14:23:45.12    +24:03:40.8   45.3   28.6    0.0       7.20       0.50        F	    0.5450	none	possible companion or lobe
RX_J1423.8+2404          4195    14:23:47.86    +24:04:39.9   58.2   41.0  -21.7       8.00       1.10        F	    0.5450	bcg	see above for lobe?
RX_J1504.1-0248          5793     15:04:7.55    -02:48:16.3   19.1   15.0  -46.2      60.50       2.50        F	    0.2150	bcg	psxrp
RX_J1525+0958            1664    15:24:41.62    +09:57:41.7   24.8   14.9   44.1      82.70       3.60        F	    0.5160	bcg	this is a MONSTER radio src trailing the shock front
RX_J1532.9+3021          1649    15:32:54.31     +30:23:1.5   39.0   36.6    0.0       4.40       0.40        F	    0.3450	bcg	psxrp
RX_J1532.9+3021          1665    15:32:54.31     +30:23:1.5   39.0   36.6    0.0       4.40       0.40        F	    0.3450	bcg	psxrp
RX_J1716.9+6708           548    17:16:49.63    +67:08:28.0   71.8   43.1    0.0       4.60       0.50        F	    0.8100	relic	diff emi near ps
RX_J1720.1+2638          4361     17:20:1.53    +26:36:29.7   87.9   52.7    0.0       4.10       0.50        F	    0.1640	relic	diff emi no ctrprt
RX_J1720.2+3536          3280    17:20:16.80    +35:36:28.4   20.7   23.3  -60.5      18.00       1.00        F	    0.3913	bcg	psxrp
RX_J1720.2+3536          6107    17:20:16.80    +35:36:28.4   20.7   23.3  -60.5      18.00       1.00        F	    0.3913	bcg	psxrp
RX_J1720.2+3536          7225    17:20:16.80    +35:36:28.4   20.7   23.3  -60.5      18.00       1.00        F	    0.3913	bcg	psxrp
RX_J2011.3-5725          4995    00:00:00.00     00:00:00.0    0.0    0.0    0.0    -444.00    -555.00       OA   0.2786     na     na
RX_J2129.6+0005           552    21:29:36.61    +00:02:35.4   68.6   58.9    0.0       2.20       0.40        F	    0.2350	none	possible relic
S0463                    6956    00:00:00.00     00:00:00.0    0.0    0.0    0.0    -444.00    -555.00       OA   0.0986     na     na
S0463                    7250    00:00:00.00     00:00:00.0    0.0    0.0    0.0    -444.00    -555.00       OA   0.0986     na     na
SERSIC_159-03            1668    00:00:00.00     00:00:00.0    0.0    0.0    0.0    -444.00    -555.00       OA	    0.0580	na	na
TRIANG_AUSTR             1281    00:00:00.00     00:00:00.0    0.0    0.0    0.0    -444.00    -555.00       OA   0.0510     na     na
V_1121.0+2327            1660    00:00:00.00     00:00:00.0    0.0    0.0    0.0       2.50       0.25       NF	    0.5600	na	na
ZWCL_1215                4184    12:17:39.58    +03:39:53.2   24.8   16.2  -22.4    1116.30      42.50        F	    0.0750	bcg	psxrp
ZWCL_1358+6245            516    00:00:00.00     00:00:00.0    0.0    0.0    0.0       2.50       0.25       NF	    0.3280	na	na
ZWCL_1953                1659     08:50:7.75    +36:04:21.7   49.4   28.5   14.4      19.40       1.20        F	    0.3800	bcg	not sure...
ZWCL_1953                1659    08:50:13.39    +36:04:22.4   23.8   21.3   13.4      20.80       1.00        F	    0.3800	none	not sure...
ZWCL_3146                 909    10:23:39.64    +04:11:15.4   35.5   28.9    0.0       7.10       0.50        F	    0.2900	relic	very faint at xrp
ZWCL_5247                 539    12:34:12.17     +09:48:0.6  182.0   84.0    0.0       3.80       0.70        F	    0.2290	relic	diff near merger
ZWCL_7160                 543    14:57:15.18    +22:20:36.0   29.5   23.4  -10.4      16.50       1.30        F	    0.2578	bcg	psxrp
ZWICKY_2701              3195    09:52:49.05     +51:53:6.0   28.2   20.9    0.0      14.50       0.60        F	    0.2100	bcg	psxrp
ZwCL_1332.8+5043         5772    13:34:15.29    +50:30:32.3   37.6   33.7    0.0       4.90       0.40        F	    0.6200	none	none
ZwCl_0848.5+3341         4205    00:00:00.00     00:00:00.0    0.0    0.0    0.0       2.50       0.25       NF   0.3706     na     na
