#Cluster                Obsid             RA            Dec    Maj    Min  Theta       Flux      Flerr    Found	         z	type	notes
# ---                     ---    hh:mm:ss.ss     hh:mm:ss.s      "      "   deg.        mJy        mJy      ---        ---	----	----
ABELL_0773               5006    09:17:54.40    +51:43:43.3  158.4   96.4    0.0       8.00       1.00        F	    0.2170	relic	no identified counterpart within 5'
ABELL_0781                534    09:20:22.90    +30:29:45.6   18.9   20.0   77.2      73.10       2.60        F	    0.2984	bcg	obvious pt src at xr peak
ABELL_0907               3185    09:58:21.84    -11:03:47.4   24.5   18.6  -35.4      68.60       2.50        F	    0.1527	bcg	obvious pt src at xr peak
ABELL_0963                903    10:17:14.15    +39:01:24.0   17.7   15.8    0.0    1392.20      41.80        F	    0.2056	none	companion
ABELL_1060               2220    10:36:35.99     -27:31:4.4   87.0   22.7   31.2      62.80       2.70        F	    0.0125	bcg	offset pt src
ABELL_1063S              4966    00:00:00.00     00:00:00.0    0.0    0.0    0.0    -444.00    -555.00       OA	    0.3540	na	na
ABELL_1068               1652    10:40:43.77     +39:57:8.6   22.1   21.7   25.4      23.10       1.10        F	    0.1375	bcg	pt src @ xr peak
ABELL_1201               4216    11:12:46.73    +13:23:58.8   49.2   27.1   55.8      10.00       1.00        F	    0.1688	none	possible radio lobe
ABELL_1204               2205    00:00:00.00     00:00:00.0    0.0    0.0    0.0       2.50       0.25       NF	    0.1706	na	na
ABELL_1361               2200    11:43:39.63    +46:21:20.7   19.4   18.6    0.0     869.30      26.30        F	    0.1171	bcg	ob pt src xrp
ABELL_1413               5003    11:55:17.90    +23:24:20.8   72.1   45.8    0.0       3.50       0.50        F	    0.1426	relic	no counterpart, centered on xr centroid
ABELL_1423                538    11:57:16.78    +33:36:44.6   34.6   18.3    2.6      33.30       1.40        F	    0.2130	bcg	pt src xrp
ABELL_1650               4178    00:00:00.00     00:00:00.0    0.0    0.0    0.0       2.50       0.25       NF	    0.0843	na	na
ABELL_1651               4185    12:59:22.21    -04:11:44.2   55.3   37.0    0.0       6.00       0.50        F	    0.0840	bcg	pt src xrp
ABELL_1664               1648    13:03:42.65    -24:14:42.6   20.8   15.6    0.0      36.40       1.20        F	    0.1276	bcg	pt src xrp
ABELL_1689               1663    13:11:29.70    -01:20:47.3   35.5   26.7    0.0      10.30       0.50        F   0.1843     na     na
ABELL_1689               5004    13:11:31.49    -01:19:34.8   37.5   19.8   16.5      69.90       2.90        F	    0.1843	bcg	pt src xrp
ABELL_1689                540    13:11:29.70    -01:20:47.3   35.5   26.7    0.0      10.30       0.50        F   0.1843     na     na
ABELL_1758               2213    13:32:45.71    +50:33:32.4  206.0   78.0   30.0      25.10       2.90        F	    0.2792	relic	kempner & sarazin
ABELL_1763               3591    13:35:19.86     +41:00:4.0   23.0   16.7  -46.1     865.10      30.00        F	    0.1866	bcg	w/ lobe
ABELL_1795               5289    13:48:52.43    +26:35:33.6   18.4   17.2    0.0     924.50      27.70        F	    0.0625	bcg	pt src xrp
ABELL_1835                495     14:01:2.05    +02:52:41.0   18.7   21.6   -8.0      39.30       1.60        F	    0.2532	bcg	pt src xrp
ABELL_1914               3593     14:26:1.41    +37:49:57.0  125.0   84.6   60.7      23.40       4.40        F	    0.1712	relic	cloud w/ superposed pt src
ABELL_1942               3290    14:38:22.01    +03:40:16.1   46.4   17.7   79.6     743.30      23.90        F	    0.2240	bcg	LARGE pt src xrp
ABELL_1991               3193    14:54:31.55    +18:38:32.9   16.8   16.7    0.0      39.00       1.20        F	    0.0565	bcg	pt src xrp
ABELL_1995                906    00:00:00.00     00:00:00.0    0.0    0.0    0.0       2.50       0.25       NF   0.3186     na     na
ABELL_2029               4977    15:10:55.87    +05:44:39.3   23.2   19.8  -26.4     534.40      18.60        F	    0.0765	bcg	psxrp
ABELL_2029               6101    15:10:55.87    +05:44:39.3   23.2   19.8  -26.4     534.40      18.60        F	    0.0765	bcg	psxrp
ABELL_2034               2204    15:10:11.90    +33:29:16.2  128.0   86.9    0.0       7.50       1.00        F	    0.1130	relic	kem&sa
ABELL_2065              31821    00:00:00.00     00:00:00.0    0.0    0.0    0.0       2.50       0.25       NF   0.0730     na     na
ABELL_2069               4965    00:00:00.00     00:00:00.0    0.0    0.0    0.0       2.50       0.25       NF	    0.1160	na	na
ABELL_2104                895    00:00:00.00     00:00:00.0    0.0    0.0    0.0       2.50       0.25       NF	    0.1554	na	na
ABELL_2111                544    00:00:00.00     00:00:00.0    0.0    0.0    0.0       2.50       0.25       NF	    0.2300	na	na
ABELL_2124               3238    00:00:00.00     00:00:00.0    0.0    0.0    0.0       2.50       0.25       NF	    0.0658	na	na
ABELL_2125               2207    15:41:12.14    +66:15:48.4   54.6   17.0   72.0      41.10       1.60        F	    0.2465	bcg	psxrp
ABELL_2147               3211    16:02:17.22    +15:58:38.1   52.0   21.5   23.0      16.10       1.10        F	    0.0356	none	none
ABELL_2163               1653    16:15:47.33     -06:08:0.7  125.9  123.8   89.6      30.60       5.10        F	    0.1695	relic	diffuse and asym.
ABELL_2199                497    16:28:38.34    +39:32:60.0   72.7   18.0   84.4    3678.70     123.30        F	    0.0300	bcg	psxrp
ABELL_2204                499    16:32:46.87    +05:34:34.9   15.9   18.0   76.3      69.30       2.50        F	    0.1524	bcg	psxrp
ABELL_2204               6104    16:32:46.87    +05:34:34.9   15.9   18.0   76.3      69.30       2.50        F	    0.1524	bcg	psxrp
ABELL_2218               1666    16:35:46.83    +66:14:47.8  112.2   30.9   33.9      16.00       1.60        F	    0.1713	relic	kemp&sar
ABELL_2219                896    16:40:14.98    +46:42:28.7   52.7   30.6    0.0       2.00       1.00        F	    0.2256	relic	kemp&sar
ABELL_2244               4179    17:02:42.73    +34:03:36.2   73.8   46.9    0.0       3.10       0.40        F	    0.0967	relic	very faint diffuse sandwiched w/ two bright rd src
ABELL_2255                894    17:12:27.07    +64:02:31.1   81.7   19.9   55.9      18.00       5.00        F	    0.0805	relic	kemp&sar
ABELL_2256               1386    00:00:00.00     00:00:00.0    0.0    0.0    0.0       2.50       0.25       NF   0.0579     na     na
ABELL_2259               3245    00:00:00.00     00:00:00.0    0.0    0.0    0.0       2.50       0.25       NF	    0.1640	na	na
