#Name                      Obsid   Mdot   M500  tcool    ref
ABELL_1991                  3193     -1  -1.00  -1.00      z
ABELL_2029             6101+4977    514   9.95   2.60      c
ABELL_2034                  2204     -1   4.41  -1.00      m
ABELL_2069                  4965     -1   4.08  -1.00      m
ABELL_2104                   895     -1  -1.00  -1.00      z
ABELL_2111                   544     -1   4.90  21.40      m
ABELL_2124                  3238     -1  -1.00  -1.00      z
ABELL_2125                  2207     -1   0.54  -1.00      m
ABELL_2147                  3211      0   2.31  44.10      c
ABELL_2163                  1653      0  16.00  23.70      c
ABELL_2199                   497     77   4.29   8.30      c
ABELL_2204              6104+499   1287   5.82   1.80      c
ABELL_2218                  1666     -1   4.93  30.90      m
ABELL_2219                   896     -1  -1.00  29.10      b
ABELL_2244                  4179    129   5.48   7.60      c
ABELL_2255                   894      0   7.86  49.60      c
ABELL_2259                  3245     -1   2.77   9.00      m
ABELL_2261                  5007     -1   8.22   3.00      m
ABELL_2294                  3246     -1   7.47  13.10      m
ABELL_2319                  3231      0  13.57  21.00      c
ABELL_2384                  4202     -1  -1.00  -1.00      z
ABELL_2390                  4193     -1  -1.00   1.90      b
ABELL_2409                  3247     -1   3.65  -1.00      m
ABELL_2537                  4962     -1  -1.00  -1.00      z
ABELL_2550                  2225     -1  -1.00  -1.00      z
ABELL_2554                  1696     -1  -1.00  -1.00      z
ABELL_2556                  2226     -1  -1.00  -1.00      z
ABELL_2589                  3210     19   3.24   8.80      c
ABELL_2597                   922    501   3.71   1.70      c
ABELL_2626                  3192     -1  -1.00  -1.00      z
ABELL_2634                  4816      0   4.51  27.00      c
ABELL_2667                  2214     -1  -1.00  -1.00      z
ABELL_2670                  4959     -1  -1.00  -1.00      z
ABELL_2744                  2212     -1  -1.00  -1.00      z
ABELL_3112                  2516    346   4.36   2.10      c
ABELL_3158                  3201      0   5.75  21.10      c
ABELL_3266                   899      0  19.24  34.40      c
ABELL_3558                  1646      0   6.71  17.70      c
ABELL_3562                  4167      0   3.51  13.30      c
ABELL_3571                  4203     35   8.76   8.40      c
ABELL_3667                  5751      0   5.28  28.10      c
ABELL_4038                  4992     68   2.58   4.00      c
AC_114                      1562     -1  -1.00  -1.00      z
CL_0024+17                   929     -1   1.40  -1.00    tys
CL_1221+4918                1662     -1  -1.00  -1.00      z
CL_J0030+2618               5762     -1   1.80  -1.00      m
CL_J0152-1357                913     -1   2.46  -1.00      m
CL_J0542.8-4100              914     -1   3.07  -1.00      m
CL_J0848+4456                927     -1   0.89  -1.00      m
CL_J1113.1-2615              915     -1   0.82  -1.00      m
CL_J1213+0253               4934     -1   0.82  -1.00      m
CL_J1226.9+3332              932     -1   7.13  -1.00      m
CL_J1641+4001               3575     -1   0.59  -1.00      m
CL_J2302.8+0844              918     -1   1.27  -1.00      m
CYGNUS_A                     360     -1  -1.00  -1.00      z
ESO_3060170                 3189     -1  -1.00  -1.00      z
ESO_5520200                 3206     -1  -1.00  -1.00      z
EXO_0422-086                4183     48   2.72   8.50      c
HERCULES_A                  1625     -1  -1.00   1.30      b
HYDRA_A                     4970    293   4.07   1.80      c
IRAS_09104+4109              509     -1  -1.00  -1.00      z
LYNX_E                      9271     -1  -1.00  -1.00      z
MACS_J0011.7-1523           6105     -1  -1.00  -1.00      z
MACS_J0159.8-0849           6106     -1  11.34  -1.00      m
MACS_J0242.5-2132           3266     -1   3.99  -1.00      m
MACS_J0329.6-0211           3582     -1   4.47  -1.00      m
MACS_J0429.6-0253           3271     -1   4.76  -1.00      m
MACS_J0547.0-3904           3273     -1  -1.00  -1.00      z
MACS_J0744.9+3927           6111     -1   8.20  -1.00      m
