#Name                              Obsid          ne      nerrlo      nerrhi     tcool      tclo      tchi
#Name                              Obsid      cm**-3          --          --       Gyr        --        --
CL_J1113.1-2615                      915    8.73E-04    7.95E-05    8.31E-05    81.469    12.388    17.466
CL_J1226.9+3332                     5014    3.71E-03    2.10E-04    2.10E-04    32.210     2.952     3.571
CL_J2302.8+0844                      918    8.23E-04    4.71E-05    7.53E-05    86.969    14.391    14.371
DLS_J0514-4904                      4980    5.73E-04    3.44E-05    3.51E-05   130.371    10.264    10.942
MACS_J0011.7-1523                   6105    2.38E-03    1.24E-04    1.24E-04    37.184     2.295     2.375
MACS_J0025.4-1222                   3251    2.76E-03    1.57E-04    1.69E-04    31.615     2.508     2.867
MACS_J0035.4-2015                   3262    2.43E-03    1.27E-04    1.27E-04    39.096     2.677     2.909
MACS_J0111.5+0855                   3256    7.92E-04    8.17E-05    7.53E-05    88.936    14.600    19.364
MACS_J0152.5-2852                   3264    1.97E-03    1.11E-04    1.17E-04    41.914     3.520     4.143
MACS_J0159.0-3412                   5818    2.06E-03    1.27E-04    1.30E-04    55.648     7.313    12.672
MACS_J0159.8-0849                   6106    1.86E-03    9.52E-05    9.52E-05    56.631     3.497     3.640
MACS_J0242.5-2132                   3266    2.05E-03    1.14E-04    1.14E-04    40.007     2.895     3.164
MACS_J0257.1-2325                   1654    2.29E-03    1.23E-04    1.23E-04    46.197     3.536     4.045
MACS_J0257.6-2209                   3267    1.81E-03    9.70E-05    9.83E-05    54.291     4.162     4.801
MACS_J0308.9+2645                   3268    2.32E-03    1.21E-04    1.21E-04    48.698     3.545     3.899
MACS_J0329.6-0211                   6108    3.15E-03    1.66E-04    1.64E-04    27.661     1.715     1.771
MACS_J0404.6+1109                   3269    1.61E-03    9.40E-05    1.02E-04    51.741     4.965     6.065
MACS_J0417.5-1154                   3270    4.45E-03    2.39E-04    2.43E-04    26.002     2.240     2.724
MACS_J0429.6-0253                   3271    1.88E-03    1.03E-04    1.03E-04    44.014     3.193     3.461
MACS_J0451.9+0006                   5815    2.40E-03    1.64E-04    1.59E-04    34.794     3.900     4.948
MACS_J0455.2+0657                   5812    2.19E-03    1.45E-04    1.45E-04    42.693     4.826     6.636
MACS_J0520.7-1328                   3272    2.07E-03    1.14E-04    1.14E-04    42.312     3.227     3.565
MACS_J0547.0-3904                   3273    1.53E-03    9.09E-05    9.67E-05    43.089     3.400     3.804
MACS_J0553.4-3342                   5813    1.89E-03    1.09E-04    1.11E-04    66.712     7.417    10.462
MACS_J0717.5+3745                   4200    3.21E-03    1.64E-04    1.64E-04    38.702     2.494     2.648
MACS_J0744.8+3927                   3585    2.83E-03    1.56E-04    1.56E-04    34.901     2.392     2.541
MACS_J0911.2+1746                   5012    1.92E-03    1.13E-04    1.08E-04    49.624     4.379     5.047
MACS_J0949+1708                     3274    2.23E-03    1.23E-04    1.23E-04    47.243     4.007     4.729
MACS_J1006.9+3200                   5819    1.52E-03    1.00E-04    9.66E-05    64.286     8.266    12.042
MACS_J1105.7-1014                   5817    2.22E-03    1.43E-04    1.43E-04    42.961     5.119     7.089
MACS_J1108.8+0906                   3252    2.07E-03    1.23E-04    1.28E-04    42.926     3.722     4.074
MACS_J1115.2+5320                   3253    1.96E-03    1.12E-04    1.17E-04    52.984     4.500     5.285
MACS_J1115.8+0129                   3275    9.40E-04    5.33E-05    5.05E-05    96.249     8.457     9.783
MACS_J1131.8-1955                   3276    2.04E-03    1.09E-04    1.09E-04    49.947     3.872     4.446
MACS_J1149.5+2223                   3589    2.81E-03    1.51E-04    1.54E-04    34.191     2.491     2.731
