#---                                  keV        keV        keV                            ---
#Name                                  Tx         lo         hi                      reference
ABELL_2384                         -99.00     -99.00     -99.00                             NA
ABELL_2390                           9.35       0.15       0.15            2007ApJ...666..835B
ABELL_2409                         -99.00     -99.00     -99.00                             NA
ABELL_2420                           6.00       1.20       2.30            1993ApJ...412..479D
ABELL_2462                         -99.00     -99.00     -99.00                             NA
ABELL_2537                           7.60       0.70       0.70            2008A&A...482..451Z
ABELL_2554                           6.40       0.35       0.35            2001PhDT........88H
ABELL_2556                          10.85       2.08       2.08            2004PASJ...56..965F
ABELL_2589                           3.38       0.08       0.08            2002A&A...383..773I
ABELL_2597                           3.87       0.50       2.00            2009ApJ...692.1033V
ABELL_2626                           2.90       1.00       2.50            1993ApJ...412..479D
ABELL_2631                           7.50       0.50       0.50            2008A&A...482..451Z
ABELL_2657                           3.62       0.15       0.15            2009ApJ...692.1033V
ABELL_2667                           7.00       0.30       0.30            2008A&A...482..451Z
ABELL_2717                           2.56       0.06       0.06            2005A&A...441..893A
ABELL_2744                          10.10       0.30       0.30            2006A&A...456...55Z
ABELL_2813                           7.70       0.30       0.30            2006A&A...456...55Z
ABELL_3084                         -99.00     -99.00     -99.00                             NA
ABELL_3088                           6.40       0.30       0.30            2006A&A...456...55Z
ABELL_3112                           5.24       0.11       0.11            2009ApJ...691.1787S
ABELL_3120                         -99.00     -99.00     -99.00                             NA
ABELL_3158                           4.67       0.07       0.07            2009ApJ...692.1033V
ABELL_3266                           8.63       0.18       0.18            2009ApJ...692.1033V
ABELL_3364                           6.59       0.12       0.12            2007A&A...461...71P
ABELL_3376                           4.37       0.13       0.13            2009ApJ...692.1033V
ABELL_3391                           5.39       0.19       0.19            2009ApJ...692.1033V
ABELL_3395                           5.10       0.17       0.17            2009ApJ...692.1033V
ABELL_3528S                          4.60       0.16       0.30            2002A&A...383..773I
ABELL_3558                           4.88       0.10       0.10            2009ApJ...692.1033V
ABELL_3562                           4.31       0.12       0.12            2009ApJ...692.1033V
ABELL_3571                           6.81       0.10       0.10            2009ApJ...692.1033V
ABELL_3581                           1.83       0.01       0.02            2002A&A...383..773I
ABELL_3667                           6.33       0.06       0.06            2009ApJ...692.1033V
ABELL_3822                           5.12       0.19       0.26            2002A&A...383..773I
ABELL_3827                           6.70       0.60       0.60            2007A&A...465..345D
ABELL_3921                           5.39       0.21       0.23            2002A&A...383..773I
ABELL_4038                           2.61       0.05       0.05            2009ApJ...692.1033V
ABELL_4059                           4.25       0.08       0.08            2009ApJ...692.1033V
ABELL_S0405                        -99.00     -99.00     -99.00                             NA
ABELL_S0592                        -99.00     -99.00     -99.00                             NA
AC_114                               8.81       0.61       0.62            2002AJ....124.2413N
AWM7                                 3.70       0.03       0.05            2002A&A...383..773I
CENTAURUS                            3.69       0.02       0.02            2002A&A...383..773I
CID_0072                           -99.00     -99.00     -99.00                             NA
CL_J1226.9+3332                     10.40       0.60       0.60            2007ApJ...659.1125M 
CYGNUS_A                             8.26       0.03       0.03            2002ApJ...565..195S
ESO_3060170                          2.63       0.03       0.03            2004ApJ...612..805S
ESO_5520200                        -99.00     -99.00     -99.00                             NA
EXO_0422-086                       -99.00     -99.00     -99.00                             NA
HCG_0062                             1.00       0.03       0.03            2007MNRAS.380.1554R
HCG_42                               0.80       0.05       0.05            2007MNRAS.380.1554R
HERCULES_A                           3.16       0.36       0.36            2004PASJ...56..965F
HYDRA_A                              4.94       0.40       0.40            2001PhDT........88H
M49                                -99.00     -99.00     -99.00                             NA
M87                                -99.00     -99.00     -99.00                             NA
MACS_J0011.7-1523                  -99.00     -99.00     -99.00                             NA
MACS_J0035.4-2015                  -99.00     -99.00     -99.00                             NA
MACS_J0159.8-0849                    9.20       0.50       0.60            2007A&A...462..429B
MACS_J0242.5-2132                  -99.00     -99.00     -99.00                             NA
MACS_J0257.1-2325                  -99.00     -99.00     -99.00                             NA
MACS_J0257.6-2209                  -99.00     -99.00     -99.00                             NA
MACS_J0308.9+2645                  -99.00     -99.00     -99.00                             NA
MACS_J0329.6-0211                    6.85       0.45       0.45            2008MNRAS.383..879A 
MACS_J0417.5-1154                   11.30       0.80       0.80            2007A&A...462..429B
