#Name                                RA                Dec        z       TX   K0itpl   K0flat         LX        LHa   Type       LRad   Type  IRAC  MIPS   IRS   Data?
#---                              h:m:s              d:m:s      ---      keV keV cm^2 keV cm^2     ergs/s     ergs/s    ---     ergs/s    ---   ---   ---   ---     ---
1E0657_56                  06:58:29.627       -55:56:39.79   0.2960    11.99   299.40   307.45   5.25e+45  -1.00e+00     UK   4.32e+40     NF     Y     Y     Y       Y
1E0657_56                  06:58:29.619       -55:56:39.35   0.2960    11.99   299.40   307.45   5.25e+45  -1.00e+00     UK   4.32e+40     NF     Y     Y     Y       Y
1E0657_56                  06:58:29.670       -55:56:39.80   0.2960    11.99   299.40   307.45   5.25e+45  -1.00e+00     UK   4.32e+40     NF     Y     Y     Y       Y
2A_0335+096                03:38:41.105       +09:58:00.66   0.0347     2.88     5.29     7.14   9.77e+44   2.58e+40      F   1.12e+40      F     Y     Y     Y       Y
2PIGG_J0011.5-2850         00:11:21.623       -28:51:14.44   0.0753     5.15    13.01     8.63   2.15e+44  -1.00e+00     UK   1.68e+40      F     N     N     N    NONE
2PIGG_J0311.8-2655         03:11:34.639       -26:53:47.94   0.0618     3.35   219.58   207.41   2.50e+43  -1.00e+00     UK  -1.00e+00     UK     N     N     N    NONE
2PIGG_J2227.0-3041         22:27:54.560       -30:34:34.84   0.0729     2.80    12.50    17.13   8.10e+43  -1.00e+00     UK   3.24e+41      F     N     N     N    NONE
3C_129                     04:50:06.631       +45:03:06.05   0.0223     5.60    66.07    73.03   6.31e+44  -1.00e+00     UK   1.84e+41      F     ?     ?     ?       ?
3C_129                     04:50:06.624       +45:03:06.18   0.0223     5.60    66.07    73.03   6.31e+44  -1.00e+00     UK   1.84e+41      F     ?     ?     ?       ?
3C_28.0                    00:55:50.401       +26:24:36.47   0.1952     5.53    20.68    23.85   4.78e+44  -1.00e+00     UK   1.63e+43      F     Y     Y     Y       Y
3C_295                     14:11:20.280       +52:12:10.55   0.4641     5.16    17.43    19.75   6.92e+44   2.32e+42      F   2.03e+45      F     N     N     Y       Y
3C_388                     18:44:02.365       +45:33:29.31   0.0917     3.23    24.01    24.29   5.20e+43  -1.00e+00     UK   1.29e+43      F     Y     Y     Y       Y
4C_55.16                   08:34:54.923       +55:34:21.15   0.2420     4.98    14.02    14.60   5.90e+44   8.00e+42      F   1.61e+44      F     N     N     N    NONE
ABELL_0013                 00:13:37.883       -19:30:09.10   0.0940     6.84   181.20   162.59   1.41e+44  -1.00e+00     UK  -1.00e+00     UK     N     N     N    NONE
ABELL_0085                 00:41:50.406       -09:18:10.79   0.0558     6.90     7.26    12.50   2.69e+45   4.31e+39      F   4.61e+40      F     Y     Y     N       Y
ABELL_0119                 00:56:15.150       -01:14:59.70   0.0442     5.86   286.94   315.33   1.39e+44  -1.00e+00     UK  -1.00e+00     UK     N     N     N    NONE
ABELL_0133                 01:02:41.756       -21:52:49.79   0.0558     3.71    13.30    17.26   6.46e+44   6.53e+39      F   2.03e+39     NF     N     N     N    NONE
ABELL_0160                 01:13:00.692       +15:29:15.08   0.0447     2.70   180.96   151.61  -1.00e+00   2.13e+39     NF   1.02e+39     NF     ?     ?     ?       ?
ABELL_0193                 01:25:07.660       +08:41:57.08   0.0485     2.50   184.59   159.47  -1.00e+00   2.51e+39     NF   1.56e+40      F     ?     ?     ?       ?
ABELL_0209                 01:31:52.565       -13:36:38.79   0.2060     7.30   100.70   105.50   1.10e+45  -1.00e+00     UK   3.38e+40     NF     Y     Y     N       Y
ABELL_0209                 01:31:52.595       -13:36:39.25   0.2060     7.30   100.70   105.50   1.10e+45  -1.00e+00     UK   3.38e+40     NF     Y     Y     N       Y
