       15.103744      15.6708      1.67196
       38.332519      35.8765      2.77743
       65.665373      65.1654      5.06747
       95.980582      96.5419      1.93141
       129.42396      127.227      2.87897
       166.24405      181.146      4.64280
       206.77138      219.451      6.96309
       251.36819      283.766      10.8578
       300.43378      365.323      16.6564
       354.41233      456.902      25.9503
       449.79290      613.651      26.9603
       643.31998      1093.26      82.4614
