       20.244349      44.4001     0.549570
       49.543203      96.3501      5.02538
       81.143183      125.467      9.77021
       113.04952      163.441      3.30184
       145.05790      201.393      4.80485
       194.15442      253.682      5.75831
       241.28706      319.519      13.3624
       273.39146      363.863      18.0885
       305.50249      431.672      23.8036
       354.22530      522.780      27.6355
       418.38477      624.079      51.3406
       526.42255      829.463      91.6138
