       28.868317       37.030093       2.4747836
       55.214818       72.286010       2.8170698
       85.094815       106.69465       3.6514255
       120.39605       147.82903       4.7510536
       161.09335       200.41127       7.7884061
       207.29207       264.69924       12.116231
       261.82985       344.71605       15.567487
       327.16139       444.78496       19.936575
       406.14084       579.40096       51.372924
       504.24247       761.27350       61.819054
       626.92794       1012.9100       90.546188
       955.69379       1898.9020       140.55529
