# Model: wabs(mekal) for spectra; Fit Range = 0.7 - 7.0; Count Rates = 0.7 - 7.0 keV
# Nh frozen = yes; Fe frozen = no; Confidence Levels = 2.71; Systematic error = 0.00
# Cluster                  ObsID  AddTx    Eta  nh20   nlo   nhi    Tx   Tlo   Thi    Fe  Felo  Fehi       Norm     Normlo     Normhi T/TBF    lo    hi  N/NBF     lo     hi       z     Cr   Junk  chisq    dof
fake_set                    0000   0.75   0.06  3.00  0.00  0.00  4.27  4.14  4.41  0.28  0.22  0.34   2.93e-03   2.87e-03   2.99e-03  0.85  0.83  0.88  0.977  0.956  0.997  0.1000  0.324      0   1.25    284
fake_set                    0000   0.75   0.08  3.00  0.00  0.00  4.29  4.16  4.43  0.25  0.20  0.31   3.03e-03   2.96e-03   3.10e-03  0.86  0.83  0.89  1.010  0.988  1.032  0.1000  0.333      0   1.48    284
fake_set                    0000   0.75   0.12  3.00  0.00  0.00  3.95  3.84  4.07  0.27  0.22  0.32   3.13e-03   3.07e-03   3.21e-03  0.79  0.77  0.81  1.044  1.023  1.068  0.1000  0.343      0   1.90    289
fake_set                    0000   0.75   0.14  3.00  0.00  0.00  3.79  3.68  3.90  0.29  0.23  0.36   3.16e-03   3.07e-03   3.23e-03  0.76  0.74  0.78  1.052  1.022  1.078  0.1000  0.346      0   2.44    286
fake_set                    0000   0.75   0.16  3.00  0.00  0.00  3.65  3.55  3.76  0.29  0.23  0.35   3.23e-03   3.14e-03   3.32e-03  0.73  0.71  0.75  1.078  1.046  1.106  0.1000  0.351      0   2.39    285
fake_set                    0000   0.75   0.18  3.00  0.00  0.00  3.49  3.39  3.59  0.27  0.21  0.33   3.05e-03   2.97e-03   3.14e-03  0.70  0.68  0.72  1.018  0.989  1.048  0.1000  0.329      0   3.07    272
fake_set                    0000   0.75    0.1  3.00  0.00  0.00  4.03  3.91  4.16  0.24  0.19  0.29   3.11e-03   3.04e-03   3.17e-03  0.81  0.78  0.83  1.036  1.012  1.056  0.1000  0.337      0   1.81    286
fake_set                    0000   0.75   0.22  3.00  0.00  0.00  3.18  3.08  3.27  0.29  0.24  0.35   3.07e-03   2.97e-03   3.14e-03  0.64  0.62  0.65  1.023  0.990  1.047  0.1000  0.328      0   3.89    268
fake_set                    0000   0.75   0.24  3.00  0.00  0.00  3.06  2.97  3.16  0.22  0.16  0.28   3.12e-03   3.01e-03   3.23e-03  0.61  0.59  0.63  1.039  1.005  1.077  0.1000  0.323      0   4.53    263
fake_set                    0000   0.75   0.26  3.00  0.00  0.00  2.89  2.80  2.98  0.19  0.13  0.25   3.24e-03   3.12e-03   3.36e-03  0.58  0.56  0.60  1.079  1.040  1.120  0.1000  0.327      0   5.07    262
fake_set                    0000   0.75   0.28  3.00  0.00  0.00  2.88  2.78  2.96  0.24  0.20  0.31   3.12e-03   3.01e-03   3.20e-03  0.58  0.56  0.59  1.040  1.003  1.065  0.1000  0.324      0   5.70    256
fake_set                    0000   0.75    0.2  3.00  0.00  0.00  3.40  3.30  3.51  0.25  0.19  0.32   3.01e-03   2.91e-03   3.09e-03  0.68  0.66  0.70  1.002  0.971  1.031  0.1000  0.321      0   3.60    270
fake_set                    0000   0.75   0.32  3.00  0.00  0.00  2.63  2.55  2.74  0.22  0.19  0.29   3.17e-03   3.04e-03   3.28e-03  0.53  0.51  0.55  1.058  1.012  1.093  0.1000  0.321      0   6.52    252
fake_set                    0000   0.75   0.34  3.00  0.00  0.00  2.61  2.52  2.70  0.21  0.17  0.27   3.13e-03   3.00e-03   3.21e-03  0.52  0.50  0.54  1.044  1.000  1.072  0.1000  0.316      0   7.47    252
